row_label_raw,row_label_full,Số đầu năm > Khấu hao trong năm > Thanh lý trong năm,(130.572.446.766) > (13.022.905.947) > 2.629.519.460,numeric__(130.572.446.766) > (13.022.905.947) > 2.629.519.460
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,1.310.164.620,1310164620.0
Số cuối năm,Số cuối năm,Số cuối năm,(139.655.668.633),-139655668633.0
