row_label_raw,row_label_full,Ngân hàng,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
"Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")",,,,
Công thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Công thương Việt Nam",Công thương Việt Nam,416.960.643.483,426.927.748.624,416960643483.0,426927748624.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Việt Nam Thịnh Vượng",Ngân hàng TMCP Việt Nam Thịnh Vượng,143.174.626.967,207.181.920.103,143174626967.0,207181920103.0
Ngân hàng liên doanh Việt Nga,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng liên doanh Việt Nga",Ngân hàng liên doanh Việt Nga,115.991.081.664,159.288.521.705,115991081664.0,159288521705.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam",Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,89.301.804.065,80.075.380.481,89301804065.0,80075380481.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam",Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,50.352.520.000,-,50352520000.0,
Ngân hàng TMCP Ngoại thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Ngoại thương Việt Nam",Ngân hàng TMCP Ngoại thương Việt Nam,25.659.506.640,50.000.000.000,25659506640.0,50000000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh",Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,12.000.000.000,-,12000000000.0,
Ngân hàng TMCP Tiên Phong,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Tiên Phong",Ngân hàng TMCP Tiên Phong,1.790.000.000,16.513.000.000,1790000000.0,16513000000.0
Ngân hàng TMCP Hàng hải Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Hàng hải Việt Nam",Ngân hàng TMCP Hàng hải Việt Nam,-,5.558.618.750,,5558618750.0
TỔNG CỘNG,"Ngân hàng Thương mại Cổ phần (""TMCP"") > TỔNG CỘNG",TỔNG CỘNG,855.230.182.819,945.545.189.663,855230182819.0,945545189663.0
