row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Ngân hàng TMCP Việt Nam Thịnh Vượng > Công ty TNHH Chứng khoán JB Việt Nam > Công ty Chứng khoán Ngân hàng Công thương Việt Nam,Số cuối năm > 945.649.056.242 > 205.143.750.018 > 199.684.784.100,VND Số đầu năm > 941.961.050.872 > 203.201.250.006 > 199.541.647.731,numeric__Số cuối năm > 945.649.056.242 > 205.143.750.018 > 199.684.784.100,numeric__VND Số đầu năm > 941.961.050.872 > 203.201.250.006 > 199.541.647.731
Công ty Quản lý quỹ đầu tư MB,Công ty Quản lý quỹ đầu tư MB,Công ty Quản lý quỹ đầu tư MB,51.537.500.000,97.387.500.000,51537500000.0,97387500000.0
Công ty Cổ Phần Chứng Khoán SSI,Công ty Cổ Phần Chứng Khoán SSI,Công ty Cổ Phần Chứng Khoán SSI,-,369.075.000.000,,369075000000.0
VNDIRECT,VNDIRECT,VNDIRECT,-,346.597.222.232,,346597222232.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.402.015.090.360,2.157.763.670.841,1402015090360.0,2157763670841.0
