row_label_raw,row_label_full,Ông Bùi Ngọc Đức,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Bà Đỗ Thị Thái,Bà Đỗ Thị Thái,Bà Đỗ Thị Thái,Phó Tổng Giám đốc,,,
Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Phó Tổng Giám đốc,,,
Ông Lê Văn Hưng,Ông Lê Văn Hưng,Ông Lê Văn Hưng,Phó Tổng Giám đốc,miễn nhiệm ngày 30 tháng 11 năm 2023,,
Ông Dương Văn Bắc,Ông Dương Văn Bắc,Ông Dương Văn Bắc,Phó Tổng Giám đốc,miễn nhiệm ngày 26 tháng 5 năm 2023,,
Ông Lương Trí Thảo,Ông Lương Trí Thảo,Ông Lương Trí Thảo,Phó Tổng Giám đốc,không còn là thành viên từ ngày 23 tháng 6 năm 2023,,
Ông Lê Hào,Ông Lê Hào,Ông Lê Hào,Phó Tổng Giám đốc,miễn nhiệm ngày 1 tháng 2 năm 2023,,
Bà Bùi Thanh Thảo,Bà Bùi Thanh Thảo,Bà Bùi Thanh Thảo,Kế toán Trường,,,
