row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Giảm do thanh lý công ty con,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Giảm do thanh lý công ty con,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,161.107.737.628,9.190.143.512,(5.482.432.498),-,164.815.448.642,161107737628.0,9190143512.0,-5482432498.0,,164815448642.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,156.627.076.676,7.167.416.212,(4.441.115.581),-,159.353.377.307,156627076676.0,7167416212.0,-4441115581.0,,159353377307.0
Khác,Khác,Khác,4.480.660.952,2.022.727.300,(1.041.316.917),-,5.462.071.335,4480660952.0,2022727300.0,-1041316917.0,,5462071335.0
Phải trả,Phải trả,Phải trả,743.558.804.765,446.775.065.460,(338.508.379.992),(11.138.289.610),840.687.200.623,743558804765.0,446775065460.0,-338508379992.0,-11138289610.0,840687200623.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,121.989.365.789,144.439.361.750,(104.369.800.979),(4.064.881.494),157.994.045.066,121989365789.0,144439361750.0,-104369800979.0,-4064881494.0,157994045066.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,582.985.710.983,176.813.085.125,(183.690.068.376),(3.853.604.569),572.255.123.163,582985710983.0,176813085125.0,-183690068376.0,-3853604569.0,572255123163.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,20.916.104.621,40.979.808.494,(45.835.967.713),(3.219.803.547),12.840.141.855,20916104621.0,40979808494.0,-45835967713.0,-3219803547.0,12840141855.0
Khác,Khác,Khác,17.667.623.372,84.542.810.091,(4.612.542.924),-,97.597.890.539,17667623372.0,84542810091.0,-4612542924.0,,97597890539.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,582.451.067.137,437.584.921.948,(333.025.947.494),(11.138.289.610),675.871.751.981,582451067137.0,437584921948.0,-333025947494.0,-11138289610.0,675871751981.0
