row_label_raw,row_label_full,(8),"Công ty TNHH Đầu tư Bất động sản Hà An Land (""Hà An Land"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100_1,"numeric__Công ty TNHH Đầu tư Bất động sản Hà An Land (""Hà An Land"")",numeric__Kinh doanh và môi giới BĐS,numeric__Đang hoạt động,numeric__100,numeric__100_1
(9),(9),(9),"Công ty Cổ phần Đầu tư Bất động sản Tây Nam Bộ (""BĐS Tây Nam Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(10),(10),(10),"Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"99,87","99,87",,,,99.87,99.87
(11),(11),(11),"Công ty TNHH Charm & CI Việt Nam (""Charm & CI"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(12),(12),(12),"Công ty Cổ phần Đầu tư Kinh doanh Bất Động sản Đông Nam Bộ (""BĐS Đông Nam Bộ"")",Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,100,,,,100.0,100.0
(13),(13),(13),"Công ty Cổ phần Đầu tư Bất động sản Miền Đông (""BĐS Miền Đông"")",Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,100,,,,100.0,100.0
(14),(14),(14),"Công ty TNHH MTV Smart City (""Smart City"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(15),(15),(15),"Công ty Cổ phần Bất động sản Bắc Miền Tây (""BĐS Bắc Miền Tây"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(16),(16),(16),"Công ty Cổ phần Bất Đông Sản Bắc Bộ (""BĐS Bắc Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(17),(17),(17),"Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(18),(18),(18),"Công ty TNHH Đầu tư Xây dựng Ngọc Lễ (""Ngọc Lễ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,75,75,,,,75.0,75.0
(19),(19),(19),"Công ty TNHH Patheon Holdings (""Patheon"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(20),(20),(20),"Công ty TNHH Đầu tư DHG (""DHG"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(21),(21),(21),"Công ty Cổ phần Đầu tư Diamond Tower (""Diamond"")",Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,100,,,,100.0,100.0
(22),(22),(22),"Công ty Cổ phần Đầu tư Ruby Tower (""Ruby"")",Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,100,,,,100.0,100.0
(23),(23),(23),"Công ty TNHH Nhà Ô Ngay Việt Nam (""Nhà Ô Ngay"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"98,73","98,55",,,,98.73,98.55
