row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ biểu quyết %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ biểu quyết %,Số đầu năm > Giá trị ghi số VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ biểu quyết %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ biểu quyết %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty Cổ phần Đất Xanh Capital (*),Công ty Cổ phần Đất Xanh Capital (*),Công ty Cổ phần Đất Xanh Capital (*),Đầu tư tài chính,49,299.865.594.090,49,300.963.993.278,,49.0,299865594090.0,49.0,300963993278.0
Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (**),Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (**),Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (**),Kinh doanh và môi giới BĐS,49,37.392.262.891,49,148.665.476.732,,49.0,37392262891.0,49.0,148665476732.0
Công ty TNHH Đầu tư Lê Gia Newland (***),Công ty TNHH Đầu tư Lê Gia Newland (***),Công ty TNHH Đầu tư Lê Gia Newland (***),Kinh doanh và môi giới BĐS,40,31.589.491.209,40,31.600.000.000,,40.0,31589491209.0,40.0,31600000000.0
Công ty TNHH REIC,Công ty TNHH REIC,Công ty TNHH REIC,Kinh doanh BĐS,-,-,40,264.400.000,,,,40.0,264400000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,368.847.348.190,,481.493.870.010,,,368847348190.0,,481493870010.0
