row_label_raw,row_label_full,col_0,2018VNĐ,2017VNĐ,numeric__2018VNĐ,numeric__2017VNĐ
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán hàng,Doanh thu > Doanh thu bán hàng,Doanh thu bán hàng,14.835.468.698.011,12.612.573.264.894,14835468698011.0,12612573264894.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,25.146.617.005,24.975.865.110,25146617005.0,24975865110.0
,,,14.860.615.315.016,12.637.549.130.004,14860615315016.0,12637549130004.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(22.550.387.458),(5.804.081.492),-22550387458.0,-5804081492.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(5.554.406.401),(2.456.029.410),-5554406401.0,-2456029410.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(20.726.157.687),(10.004.986.529),-20726157687.0,-10004986529.0
,,,(48.830.951.546),(18.265.097.431),-48830951546.0,-18265097431.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Các khoản giảm trừ > Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,14.811.784.363.470,12.619.284.032.573,14811784363470.0,12619284032573.0
