row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,660.343.610.000,264.355.590.000,12.851.794.521,4.904.387.898,634.991.436.569,2.999.603.610,1.580.446.422.598,660343610000.0,264355590000.0,12851794521.0,4904387898.0,634991436569.0,2999603610.0,1580446422598.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,639.656.390.000,501.900.000.000,-,-,(330.170.940.000),-,811.385.450.000,639656390000.0,501900000000.0,,,-330170940000.0,,811385450000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,707.512.319.409,-,707.512.319.409,,,,,707512319409.0,,707512319409.0
Tạm ứng cổ tức năm 2017,Tạm ứng cổ tức năm 2017,Tạm ứng cổ tức năm 2017,-,-,-,-,(130.000.000.000),-,(130.000.000.000),,,,,-130000000000.0,,-130000000000.0
Đầu tư thêm vốn vào công ty con,Đầu tư thêm vốn vào công ty con,Đầu tư thêm vốn vào công ty con,-,-,-,-,(396.390),(2.999.603.610),(3.000.000.000),,,,,-396390.0,-2999603610.0,-3000000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(25.888.813.583),-,(25.888.813.583),,,,,-25888813583.0,,-25888813583.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,10.355.525.433,-,(10.355.525.433),-,-,,,10355525433.0,,-10355525433.0,,
Trích quỹ khác thuộc chủ sở hữu,Trích quỹ khác thuộc chủ sở hữu,Trích quỹ khác thuộc chủ sở hữu,-,-,-,15.533.288.150,(15.533.288.150),-,-,,,,15533288150.0,-15533288150.0,,
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.300.000.000.000,766.255.590.000,23.207.319.954,20.437.676.048,830.554.792.422,-,2.940.455.378.424,1300000000000.0,766255590000.0,23207319954.0,20437676048.0,830554792422.0,,2940455378424.0
Vốn tăng trong năm (*),Vốn tăng trong năm (*),Vốn tăng trong năm (*),519.998.680.000,-,-,-,(519.998.680.000),-,-,519998680000.0,,,,-519998680000.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,57.334.523.967,-,57.334.523.967,,,,,57334523967.0,,57334523967.0
"Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,-,(21.225.369.582),-,(21.225.369.582),,,,,-21225369582.0,,-21225369582.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,14.150.246.388,-,(14.150.246.388),-,-,,,14150246388.0,,-14150246388.0,,
Trích quỹ khác thuộc chủ sở hữu (**),Trích quỹ khác thuộc chủ sở hữu (**),Trích quỹ khác thuộc chủ sở hữu (**),-,-,-,14.150.246.388,(14.150.246.388),-,-,,,,14150246388.0,-14150246388.0,,
Trích thưởng vượt kế hoạch 2017 (***),Trích thưởng vượt kế hoạch 2017 (***),Trích thưởng vượt kế hoạch 2017 (***),-,-,-,-,(5.387.561.444),-,(5.387.561.444),,,,,-5387561444.0,,-5387561444.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.819.998.680.000,766.255.590.000,37.357.566.342,34.587.922.436,312.977.212.587,-,2.971.176.971.365,1819998680000.0,766255590000.0,37357566342.0,34587922436.0,312977212587.0,,2971176971365.0
