row_label_raw,row_label_full,col_0,Tại ngày1.1.2018VND,Vay trong nămVND,Đã trả trong nămVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2018VND,numeric__Tại ngày1.1.2018VND,numeric__Vay trong nămVND,numeric__Đã trả trong nămVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2018VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),1.369.938.174.566,59.265.389.000,(28.204.048.017),(243.849.275.192),1.157.150.240.357,1369938174566.0,59265389000.0,-28204048017.0,-243849275192.0,1157150240357.0
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,260.000.000.000,-,(260.000.000.000),-,-,260000000000.0,,-260000000000.0,,
Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,46.197.249.696,50.816.604.939,-,(29.058.633.756),67.955.220.879,46197249696.0,50816604939.0,,-29058633756.0,67955220879.0
,,,1.676.135.424.262,110.081.993.939,(288.204.048.017),(272.907.908.948),1.225.105.461.236,1676135424262.0,110081993939.0,-288204048017.0,-272907908948.0,1225105461236.0
(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2018 như sau:,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,,Giá trị,Tiền tệ,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,1.071.598.127.416,VND,2/2020-11/2022,"Nhà cửa vật kiến trúc; máy móc thiết bị; thiết bị và phương tiện vận tải, truyền dẫn; dụng cụ quản lý",,1071598127416.0,,,
Ngân hàng TMCP Tiên Phong,Ngân hàng > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,,84.502.112.941,VND,10/2022,Xây dựng cơ bản; quyền sử dụng đất,,84502112941.0,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,,1.050.000.000,VND,3/2020 - 06/2021,Xe Mercedes BenZ S500,,1050000000.0,,,
,,,,1.157.150.240.357,,,,,1157150240357.0,,,
