row_label_raw,row_label_full,col_0,Giá trị hợp lý được xác định tại ngày mua VND,numeric__Giá trị hợp lý được xác định tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,713.820.223,713820223.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,152.050.706,152050706.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,6.490.225.303,6490225303.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,64.643.903.768,64643903768.0
,,,72.000.000.000,72000000000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,-,
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,72.000.000.000,72000000000.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,-,
Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,-,
Giá phí hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh > Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,72.000.000.000,72000000000.0
