row_label_raw,row_label_full,col_0,2018VNĐ,2017VNĐ,numeric__2018VNĐ,numeric__2017VNĐ
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,62.181.894.081,781.486.244.287,62181894081.0,781486244287.0
Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,12.436.378.816,156.297.248.857,12436378816.0,156297248857.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,-,(1.500.858.091),,-1500858091.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,246.495.026,267.886.757,246495026.0,267886757.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,(7.760.593.918),(81.090.352.645),-7760593918.0,-81090352645.0
Dự phòng thừa của năm trước,Dự phòng thừa của năm trước,Dự phòng thừa của năm trước,(74.909.810),-,-74909810.0,
Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),4.847.370.114,73.973.924.878,4847370114.0,73973924878.0
Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,4.140.358.880,74.256.697.397,4140358880.0,74256697397.0
Thuế TNDN - hoãn lại,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,707.011.234,(282.772.519),707011234.0,-282772519.0
,,,4.847.370.114,73.973.924.878,4847370114.0,73973924878.0
