row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND",Phươngtiện vận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND",numeric__Phươngtiện vận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,714.614.769.582,3.526.490.490.162,232.500.871.940,8.072.701.421,985.089.600,4.482.663.922.705,714614769582.0,3526490490162.0,232500871940.0,8072701421.0,985089600.0,4482663922705.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,46.506.548.209,5.908.145.000,-,-,52.414.693.209,,46506548209.0,5908145000.0,,,52414693209.0
Xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Nguyên giá > Xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Xây dựng cơ bản mới hoàn thành(Thuyết minh 12),1.494.096.000,28.097.689.077,12.925.049.564,-,-,42.516.834.641,1494096000.0,28097689077.0,12925049564.0,,,42516834641.0
Chuyển từ TSCĐ thuê tài chính,Nguyên giá > Chuyển từ TSCĐ thuê tài chính,Chuyển từ TSCĐ thuê tài chính,-,13.751.434.000,-,-,-,13.751.434.000,,13751434000.0,,,,13751434000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.035.843.117),(403.045.545),-,-,(2.438.888.662),,-2035843117.0,-403045545.0,,,-2438888662.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(186.000.000),-,-,-,(186.000.000),,-186000000.0,,,,-186000000.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,716.108.865.582,3.612.624.318.331,250.931.020.959,8.072.701.421,985.089.600,4.588.721.995.893,716108865582.0,3612624318331.0,250931020959.0,8072701421.0,985089600.0,4588721995893.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,125.590.250.599,729.756.801.237,41.564.931.786,4.131.956.722,511.487.223,901.555.427.567,125590250599.0,729756801237.0,41564931786.0,4131956722.0,511487223.0,901555427567.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,52.044.362.392,343.030.667.216,16.761.560.060,756.730.729,50.204.640,412.643.525.037,52044362392.0,343030667216.0,16761560060.0,756730729.0,50204640.0,412643525037.0
Chuyển từ TSCĐ thuê tài chính,Khấu hao lũy kế > Chuyển từ TSCĐ thuê tài chính,Chuyển từ TSCĐ thuê tài chính,-,3.903.819.992,-,-,-,3.903.819.992,,3903819992.0,,,,3903819992.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.031.986.508),(403.045.545),-,-,(1.435.032.053),,-1031986508.0,-403045545.0,,,-1435032053.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,177.634.612.991,1.075.659.301.937,57.923.446.301,4.888.687.451,561.691.863,1.316.667.740.543,177634612991.0,1075659301937.0,57923446301.0,4888687451.0,561691863.0,1316667740543.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,589.024.518.983,2.796.733.688.925,190.935.940.154,3.940.744.699,473.602.377,3.581.108.495.138,589024518983.0,2796733688925.0,190935940154.0,3940744699.0,473602377.0,3581108495138.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,538.474.252.591,2.536.965.016.394,193.007.574.658,3.184.013.970,423.397.737,3.272.054.255.350,538474252591.0,2536965016394.0,193007574658.0,3184013970.0,423397737.0,3272054255350.0
