row_label_raw,row_label_full,Tình trạng hồ sơ,Số hồ sơ,Số dư nợ,Số dư nợ_1,numeric__Số hồ sơ,numeric__Số dư nợ,numeric__Số dư nợ_1
Tình trạng hồ sơ,Tình trạng hồ sơ,Tình trạng hồ sơ,Số hồ sơ,Nợ gốc,Nợ lãi,,,
Tình trạng hồ sơ,Tình trạng hồ sơ,Tình trạng hồ sơ,Số hồ sơ,VND,VND,,,
"Hồ sơ đã chuyển Tòa án, thi hành án","Tình trạng hồ sơ > Hồ sơ đã chuyển Tòa án, thi hành án","Hồ sơ đã chuyển Tòa án, thi hành án",187,909.363.568.410,1.586.611.025.963,187.0,909363568410.0,1586611025963.0
- Hồ sơ đã có bản án có hiệu lực,Tình trạng hồ sơ > - Hồ sơ đã có bản án có hiệu lực,- Hồ sơ đã có bản án có hiệu lực,142,402.629.754.922,753.654.461.673,142.0,402629754922.0,753654461673.0
+ Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,Tình trạng hồ sơ > + Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,+ Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,55,287.076.539.058,442.748.073.338,55.0,287076539058.0,442748073338.0
+ Hồ sơ đã chuyển qua cơ quan thi hành án,Tình trạng hồ sơ > + Hồ sơ đã chuyển qua cơ quan thi hành án,+ Hồ sơ đã chuyển qua cơ quan thi hành án,59,115.374.270.222,282.256.731.672,59.0,115374270222.0,282256731672.0
+ Hồ sơ theo dõi tiếp tục thu lãi,Tình trạng hồ sơ > + Hồ sơ theo dõi tiếp tục thu lãi,+ Hồ sơ theo dõi tiếp tục thu lãi,28,178.945.642,28.649.656.663,28.0,178945642.0,28649656663.0
- Hồ sơ khởi kiện đang được Tòa án thụ lý,Tình trạng hồ sơ > - Hồ sơ khởi kiện đang được Tòa án thụ lý,- Hồ sơ khởi kiện đang được Tòa án thụ lý,45,506.733.813.488,832.956.564.290,45.0,506733813488.0,832956564290.0
"Hồ sơ trả nợ theo tiến độ, kế hoạch","Tình trạng hồ sơ > Hồ sơ trả nợ theo tiến độ, kế hoạch","Hồ sơ trả nợ theo tiến độ, kế hoạch",7,2.965.848.510,58.849.191.545,7.0,2965848510.0,58849191545.0
Hồ sơ chưa khởi kiện,Tình trạng hồ sơ > Hồ sơ chưa khởi kiện,Hồ sơ chưa khởi kiện,2,2.140.000.000,3.713.136.034,2.0,2140000000.0,3713136034.0
,,,196,914.469.416.920,1.649.173.353.542,196.0,914469416920.0,1649173353542.0
