row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nàmdền 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nàmdền 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,,,,
Vay và nợ,Tại ngày 31/12/2019 > Vay và nợ,Vay và nợ,31.514.615.908,126.058.463.621,31.514.615.908,189.087.695.437,31514615908.0,126058463621.0,31514615908.0,189087695437.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2019 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",131.812.650.400,15.144.717.517,-,146.957.367.917,131812650400.0,15144717517.0,,146957367917.0
Chi phí phải trả,Tại ngày 31/12/2019 > Chi phí phải trả,Chi phí phải trả,4.283.014.059,-,-,4.283.014.059,4283014059.0,,,4283014059.0
,,,167.610.280.367,141.203.181.138,31.514.615.908,340.328.077.413,167610280367.0,141203181138.0,31514615908.0,340328077413.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Vay và nợ,Tại ngày 01/01/2019 > Vay và nợ,Vay và nợ,31.514.615.908,126.058.463.621,63.029.231.816,220.602.311.345,31514615908.0,126058463621.0,63029231816.0,220602311345.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2019 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",158.785.171.516,15.156.317.517,-,173.941.489.033,158785171516.0,15156317517.0,,173941489033.0
Chi phí phải trả,Tại ngày 01/01/2019 > Chi phí phải trả,Chi phí phải trả,5.787.565.190,-,-,5.787.565.190,5787565190.0,,,5787565190.0
,,,196.087.352.614,141.214.781.138,63.029.231.816,400.331.365.568,196087352614.0,141214781138.0,63029231816.0,400331365568.0
