row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,157.774.809.642,4.588.703.255,21.780.063.999,70.348.703.062,254.492.279.958,157774809642.0,4588703255.0,21780063999.0,70348703062.0,254492279958.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,-,367.100.000,367.100.000,,,,367100000.0,367100000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,157.774.809.642,4.588.703.255,21.780.063.999,70.715.803.062,254.859.379.958,157774809642.0,4588703255.0,21780063999.0,70715803062.0,254859379958.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,41.314.922.769,4.588.703.255,20.481.285.505,70.313.564.157,136.698.475.686,41314922769.0,4588703255.0,20481285505.0,70313564157.0,136698475686.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,6.168.798.688,-,534.474.372,130.502.797,6.833.775.857,6168798688.0,,534474372.0,130502797.0,6833775857.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,47.483.721.457,4.588.703.255,21.015.759.877,70.444.066.954,143.532.251.543,47483721457.0,4588703255.0,21015759877.0,70444066954.0,143532251543.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,116.459.886.873,-,1.298.778.494,35.138.905,117.793.804.272,116459886873.0,,1298778494.0,35138905.0,117793804272.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,110.291.088.185,-,764.304.122,271.736.108,111.327.128.415,110291088185.0,,764304122.0,271736108.0,111327128415.0
