row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019,Từ 01/06/2018đến 31/12/2018,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019,numeric__Từ 01/06/2018đến 31/12/2018
,,,,,VND,VND,,,,
I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,"1. Tiền thu từ bán hàng, cung cấp dịch vụvà doanh thu khác","1. Tiền thu từ bán hàng, cung cấp dịch vụvà doanh thu khác",910.483.865.167,412.704.225.217,,,910483865167.0,412704225217.0
02,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,(955.969.957.265),(426.453.783.283),,,-955969957265.0,-426453783283.0
03,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,3. Tiền chi trả cho người lao động,3. Tiền chi trả cho người lao động,(70.333.430.022),(28.832.717.507),,,-70333430022.0,-28832717507.0
04,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,4. Tiền lãi vay đã trả,4. Tiền lãi vay đã trả,(18.869.923.403),(7.812.998.527),,,-18869923403.0,-7812998527.0
06,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,5. Tiền thu khác từ hoạt động kinh doanh,5. Tiền thu khác từ hoạt động kinh doanh,258.467.290.490,175.638.680.660,,,258467290490.0,175638680660.0
07,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,6. Tiền chi khác cho hoạt động kinh doanh,6. Tiền chi khác cho hoạt động kinh doanh,(488.685.288.089),(1.114.874.239.590),,,-488685288089.0,-1114874239590.0
20,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(364.907.443.122),(989.630.833.030),,,-364907443122.0,-989630833030.0
II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"1. Tiền chi để mua sắm, xây dựng tài sảncó định và các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng tài sảncó định và các tài sản dài hạn khác",(25.959.031.838),(179.857.665),,,-25959031838.0,-179857665.0
23,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,"2. Tiền chi cho vay, mua các công cụ nợcủa đơn vị khác","2. Tiền chi cho vay, mua các công cụ nợcủa đơn vị khác",(414.764.833.653),(82.845.600.358),,,-414764833653.0,-82845600358.0
24,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,"3. Tiền thu hồi cho vay, bán lại các côngcụ nợ của đơn vị khác","3. Tiền thu hồi cho vay, bán lại các côngcụ nợ của đơn vị khác",76.122.128.096,986.928.472.387,,,76122128096.0,986928472387.0
25,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 25,25,4. Tiền chi đầu tư góp vốn vào đơn vị khác,4. Tiền chi đầu tư góp vốn vào đơn vị khác,(641.967.846.457),(863.156.306.109),,,-641967846457.0,-863156306109.0
26,26,26,4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,-,-,,,,
27,26 > 27,27,"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",2.577.414.083.159,1.581.311.000.850,,,2577414083159.0,1581311000850.0
30,26 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,1.570.844.499.307,1.622.057.709.105,,,1570844499307.0,1622057709105.0
III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
34,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,1. Tiền trả nợ gốc vay,1. Tiền trả nợ gốc vay,(31.514.615.908),(15.757.307.954),,,-31514615908.0,-15757307954.0
36,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,"2. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","2. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",(998.865.211.349),-,,,-998865211349.0,
40,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,(1.030.379.827.257),(15.757.307.954),,,-1030379827257.0,-15757307954.0
50,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,175.557.228.928,616.669.568.121,,,175557228928.0,616669568121.0
60,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,1.436.064.174.519,819.099.974.948,,,1436064174519.0,819099974948.0
61,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,10.987.556,294.631.450,,,10987556.0,294631450.0
70,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,1.611.632.391.003,1.436.064.174.519,,3.0,1611632391003.0,1436064174519.0
