row_label_raw,row_label_full,Đầu tư vào đơn vị khác > - Công ty Cổ phần Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam (1),Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,31/12/2019 > Giá gốcVND > Đầu tư vào đơn vị khác > 10.005.700.000,31/12/2019 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 35.220.064.000,31/12/2019 > Dự phòngVND > Đầu tư vào đơn vị khác > -,01/01/2019 > Giá gốcVND > Đầu tư vào đơn vị khác > 10.005.700.000,01/01/2019 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 20.811.856.000,01/01/2019 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,numeric__31/12/2019 > Giá gốcVND > Đầu tư vào đơn vị khác > 10.005.700.000,numeric__31/12/2019 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 35.220.064.000,numeric__31/12/2019 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__01/01/2019 > Giá gốcVND > Đầu tư vào đơn vị khác > 10.005.700.000,numeric__01/01/2019 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 20.811.856.000,numeric__01/01/2019 > Dự phòngVND > Đầu tư vào đơn vị khác > -
- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),GTA,18.329.722.400,13.579.641.900,(4.750.080.500),18.329.722.400,15.870.857.200,(1.341.199.200),,18329722400.0,13579641900.0,-4750080500.0,18329722400.0,15870857200.0,-1341199200.0
- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu (1),- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu (1),- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu (1),VIR,3.850.000.000,-,-,3.850.000.000,2.802.800.000,(1.047.200.000),,3850000000.0,,,3850000000.0,2802800000.0,-1047200000.0
- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),EIC,44.118.073.392,30.240.000.000,(11.718.073.392),44.118.073.392,35.424.000.000,(8.694.073.392),,44118073392.0,30240000000.0,-11718073392.0,44118073392.0,35424000000.0,-8694073392.0
- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,,79.567.924.335,,-,79.567.924.335,,-,,79567924335.0,,,79567924335.0,,
- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),TL4,24.418.782.000,21.705.584.000,(2.713.198.000),24.418.782.000,20.620.304.800,(3.798.477.200),,24418782000.0,21705584000.0,-2713198000.0,24418782000.0,20620304800.0,-3798477200.0
- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,,23.082.813.181,,-,23.082.813.181,,-,,23082813181.0,,,23082813181.0,,
- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),SIP,123.364.568.486,891.965.416.000,-,123.364.568.486,,-,,123364568486.0,891965416000.0,,123364568486.0,,
- Công ty Cổ phần Xi măng FICO Tây Ninh (3),- Công ty Cổ phần Xi măng FICO Tây Ninh (3),- Công ty Cổ phần Xi măng FICO Tây Ninh (3),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Thép Hưng Thịnh (3),- Công ty Cổ phần Thép Hưng Thịnh (3),- Công ty Cổ phần Thép Hưng Thịnh (3),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Chế biến và Xuất Nhập Khẩu Thủy sản Đồng Tháp (3),- Công ty Cổ phần Chế biến và Xuất Nhập Khẩu Thủy sản Đồng Tháp (3),- Công ty Cổ phần Chế biến và Xuất Nhập Khẩu Thủy sản Đồng Tháp (3),,,,,-,,-,,,,,,,
,,,,326.737.583.794,992.710.705.900,(19.181.351.892),326.737.583.794,6.028.199.404.300,(14.880.949.792),,326737583794.0,992710705900.0,-19181351892.0,326737583794.0,6028199404300.0,-14880949792.0
