row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,40.000.000.000.000,-,39.063.767,-,-,40.000.039.063.767,40000000000000.0,,39063767.0,,,40000039063767.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,-,-,1.213.421.293.553,1.213.421.293.553,,,,,1213421293553.0,1213421293553.0
Chênh lệch tỷ giá hối đoái do đánh giá lại số dư cuối kỳ,Chênh lệch tỷ giá hối đoái do đánh giá lại số dư cuối kỳ,Chênh lệch tỷ giá hối đoái do đánh giá lại số dư cuối kỳ,-,-,(39.063.767),-,-,(39.063.767),,,-39063767.0,,,-39063767.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,40.000.000.000.000,-,-,-,1.213.421.293.553,41.213.421.293.553,40000000000000.0,,,,1213421293553.0,41213421293553.0
Số dư đầu năm này,Số dư đầu năm này,Số dư đầu năm này,40.000.000.000.000,-,-,-,1.213.421.293.553,41.213.421.293.553,40000000000000.0,,,,1213421293553.0,41213421293553.0
Lãi trong năm này,Lãi trong năm này,Lãi trong năm này,-,-,-,-,2.590.903.860.441,2.590.903.860.441,,,,,2590903860441.0,2590903860441.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,206.396.524.636,(206.396.524.636),-,,,,206396524636.0,-206396524636.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,-,-,(7.024.768.917),(7.024.768.917),,,,,-7024768917.0,-7024768917.0
Chia trả cổ tức,Chia trả cổ tức,Chia trả cổ tức,-,-,-,-,(1.000.000.000.000),(1.000.000.000.000),,,,,-1000000000000.0,-1000000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,40.000.000.000.000,-,-,206.396.524.636,2.590.903.860.441,42.797.300.385.077,40000000000000.0,,,206396524636.0,2590903860441.0,42797300385077.0
