row_label_raw,row_label_full,Mã chứng khoán,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc_1,Giá trị hợp lý_1,Dự phòng_1,numeric__Giá gốc,numeric__Giá trị hợp lý,numeric__Dự phòng,numeric__Giá gốc_1,numeric__Giá trị hợp lý_1,numeric__Dự phòng_1
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,3.025.798.070.098,,-,3.025.798.070.098,,-,3025798070098.0,,,3025798070098.0,,
,,,935.038.751.632,,-,935.038.751.632,,-,935038751632.0,,,935038751632.0,,
,,,2.530.772.124.994,,-,2.530.772.124.994,,-,2530772124994.0,,,2530772124994.0,,
,,,1.077.859.608.482,,-,1.077.859.608.482,,-,1077859608482.0,,,1077859608482.0,,
,,,1.502.015.240.790,,-,1.502.015.240.790,,-,1502015240790.0,,,1502015240790.0,,
,,,716.474.580.464,,-,716.474.580.464,,-,716474580464.0,,,716474580464.0,,
,,,615.594.493.514,,-,615.594.493.514,,-,615594493514.0,,,615594493514.0,,
,,,1.005.485.148.742,,-,1.005.485.148.742,,-,1005485148742.0,,,1005485148742.0,,
,,,1.457.728.529.898,,-,1.457.728.529.898,,-,1457728529898.0,,,1457728529898.0,,
,,,627.880.177.283,,-,627.880.177.283,,-,627880177283.0,,,627880177283.0,,
,,,1.452.749.526.832,,(42.023.935.860),1.452.749.526.832,,(42.337.252.010),1452749526832.0,,-42023935860.0,1452749526832.0,,-42337252010.0
,,,1.152.890.007.568,,-,1.152.890.007.568,,-,1152890007568.0,,,1152890007568.0,,
,,,643.081.414.030,,(50.961.698.571),643.081.414.030,,(29.472.221.373),643081414030.0,,-50961698571.0,643081414030.0,,-29472221373.0
,,,384.196.304.173,,-,384.196.304.173,,-,384196304173.0,,,384196304173.0,,
,,,667.308.339.858,,(47.275.137.946),667.308.339.858,,(48.415.020.844),667308339858.0,,-47275137946.0,667308339858.0,,-48415020844.0
,,,625.705.840.423,,(28.150.570.086),625.705.840.423,,(13.202.559.676),625705840423.0,,-28150570086.0,625705840423.0,,-13202559676.0
,,,239.803.607.484,,(14.895.538.685),239.803.607.484,,(9.375.730.083),239803607484.0,,-14895538685.0,239803607484.0,,-9375730083.0
,,,432.783.235.397,,-,432.783.235.397,,-,432783235397.0,,,432783235397.0,,
,,,313.741.909.846,,-,313.741.909.846,,-,313741909846.0,,,313741909846.0,,
,,,79.426.489.341,,(1.768.092.963),79.426.489.341,,(822.043.526),79426489341.0,,-1768092963.0,79426489341.0,,-822043526.0
,,,18.965.002.003,,-,18.965.002.003,,-,18965002003.0,,,18965002003.0,,
,,,11.336.097.506,,-,11.336.097.506,,-,11336097506.0,,,11336097506.0,,
,,,1.719.938.855,,-,1.719.938.855,,-,1719938855.0,,,1719938855.0,,
,,,131.788.294.322,,-,131.788.294.322,,-,131788294322.0,,,131788294322.0,,
,,,19.650.142.733.535,-,(185.074.974.111),19.650.142.733.535,-,(143.624.827.512),19650142733535.0,,-185074974111.0,19650142733535.0,,-143624827512.0
