row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộp trongnăm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộp trongnăm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,40.809.858.030,-,7.419.790.187,7.056.199.651,40.446.267.494,-,40809858030.0,,7419790187.0,7056199651.0,40446267494.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,33.132.521.750,-,-,-,33.132.521.750,-,33132521750.0,,,,33132521750.0,
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,554.816.946,3.157.204.645,4.016.092.408,304.070.817,-,,554816946.0,3157204645.0,4016092408.0,304070817.0,
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,3.156.897.979,3.156.897.979,-,-,,,3156897979.0,3156897979.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,203.427.727,203.427.727,-,-,,,203427727.0,203427727.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,179.175.753.948,13.980.266.447,220.207.344.027,27.051.323.632,-,,179175753948.0,13980266447.0,220207344027.0,27051323632.0,
,,,73.942.379.780,179.730.570.894,27.917.586.985,234.639.961.792,100.934.183.693,-,73942379780.0,179730570894.0,27917586985.0,234639961792.0,100934183693.0,
