row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,,,,
- Công ty Cổ phần Cao su Bà Rịa,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Bà Rịa,- Công ty Cổ phần Cao su Bà Rịa,Tỉnh Bà Rịa - Vũng Tàu,"97,47%","97,47%","Trồng, khai thác và kinh doanh",,0.9747,0.9747,
- Công ty Cổ phần Cao su Tân Biên,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Tân Biên,- Công ty Cổ phần Cao su Tân Biên,Tỉnh Tây Nính,"98,46%","98,46%","Trồng, khai thác và kinh doanh",,0.9845999999999999,0.9845999999999999,
- Công ty Cổ phần VRG - Bảo Lộc,Công ty con trên 50% vốn > - Công ty Cổ phần VRG - Bảo Lộc,- Công ty Cổ phần VRG - Bảo Lộc,Tỉnh Lâm Đồng,"71,03%","71,03%",Thủy điện,,0.7103,0.7103,
- Công ty Cổ phần Gỗ MDF Geruco Quảng Trị,Công ty con trên 50% vốn > - Công ty Cổ phần Gỗ MDF Geruco Quảng Trị,- Công ty Cổ phần Gỗ MDF Geruco Quảng Trị,Tỉnh Quảng Trị,"84,85%","84,85%",Chế biến gỗ,,0.8484999999999999,0.8484999999999999,
- Công ty Cổ phần Thủy điện Geruco Sông Côn,Công ty con trên 50% vốn > - Công ty Cổ phần Thủy điện Geruco Sông Côn,- Công ty Cổ phần Thủy điện Geruco Sông Côn,Tỉnh Quảng Nam,"51,01%","51,01%",Thủy điện,,0.5101,0.5101,
- Công ty Cổ phần Công nghiệp và XNK Cao su,Công ty con trên 50% vốn > - Công ty Cổ phần Công nghiệp và XNK Cao su,- Công ty Cổ phần Công nghiệp và XNK Cao su,Thành phố Hồ Chí Minh,"69,12%","69,12%","Kinh doanh Thương mại, XNK",,0.6912,0.6912,
- Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên,Công ty con trên 50% vốn > - Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên,- Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên,Tỉnh Phú Yên,"81,77%","81,77%",Thủy điện,,0.8177,0.8177,
- Công ty Cổ phần VRG - Đắk Nông,Công ty con trên 50% vốn > - Công ty Cổ phần VRG - Đắk Nông,- Công ty Cổ phần VRG - Đắk Nông,Tỉnh Đắk Nông,"68,60%","68,60%",Thủy điện,,0.6859999999999999,0.6859999999999999,
- Công ty Cổ phần Thế thao Ngôi Sao Geru,Công ty con trên 50% vốn > - Công ty Cổ phần Thế thao Ngôi Sao Geru,- Công ty Cổ phần Thế thao Ngôi Sao Geru,Thành phố Hồ Chí Minh,"64,38%","64,38%",SXXD dụng cụ Thế thao,,0.6437999999999999,0.6437999999999999,
- Công ty Cổ phần Cao su Sa Thầy,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Sa Thầy,- Công ty Cổ phần Cao su Sa Thầy,Tỉnh Kon Tum,"59,13%","59,13%",Trồng và khai thác cao su,,0.5913,0.5913,
- Công ty Cổ phần Cao su Sơn La,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Sơn La,- Công ty Cổ phần Cao su Sơn La,Tỉnh Sơn La,"71,10%","71,10%",Trồng và khai thác cao su,,0.711,0.711,
- Công ty Cổ phần Cao su Tây Ninh,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Tây Ninh,- Công ty Cổ phần Cao su Tây Ninh,Tỉnh Tây Ninh,"60,00%","60,00%",Trồng và khai thác cao su,,0.6,0.6,
- Công ty Cổ phần Cao su Đồng Phú,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Đồng Phú,- Công ty Cổ phần Cao su Đồng Phú,Tỉnh Bình Phước,"55,81%","55,81%",Trồng và khai thác cao su,,0.5581,0.5581,
- Công ty Cổ phần Cơ khí Cao Su,Công ty con trên 50% vốn > - Công ty Cổ phần Cơ khí Cao Su,- Công ty Cổ phần Cơ khí Cao Su,Thành phố Hồ Chí Minh,"60,00%","60,00%",Cơ khí cao su,,0.6,0.6,
- Công ty Cổ phần Cao su Hà Giang,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Hà Giang,- Công ty Cổ phần Cao su Hà Giang,Tỉnh Hà Giang,"82,63%","82,63%",Trồng và khai thác cao su,,0.8262999999999999,0.8262999999999999,
