row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,,VND,VND,,VND,,,,,
,,,,Giá trị,Số có khả năngtrả nợ,Giá trị,Số có khả năngtrả nợ,,,,,
Công ty Cố phần Sunshine Homes,Công ty Cố phần Sunshine Homes,Công ty Cố phần Sunshine Homes,96.200.715.256,,96.200.715.256,123.377.519.660,123.377.519.660,96200715256.0,,96200715256.0,123377519660.0,123377519660.0
Công ty Cố phần Tập đoàn Sunshine,Công ty Cố phần Tập đoàn Sunshine,Công ty Cố phần Tập đoàn Sunshine,51.754.196.261,,51.754.196.261,-,-,51754196261.0,,51754196261.0,,
Công ty Cố phần HASKY,Công ty Cố phần HASKY,Công ty Cố phần HASKY,36.040.893.073,,36.040.893.073,64.489.090.903,64.489.090.903,36040893073.0,,36040893073.0,64489090903.0,64489090903.0
Công ty Cố phần Vimeco,Công ty Cố phần Vimeco,Công ty Cố phần Vimeco,35.779.926.000,,35.779.926.000,35.779.926.000,35.779.926.000,35779926000.0,,35779926000.0,35779926000.0,35779926000.0
Công ty Cố phần Kinh doanh NhàSunshine,Công ty Cố phần Kinh doanh NhàSunshine,Công ty Cố phần Kinh doanh NhàSunshine,13.740.610.033,,13.740.610.033,21.114.700.958,21.114.700.958,13740610033.0,,13740610033.0,21114700958.0,21114700958.0
Công ty Cố phần Phú Thành,Công ty Cố phần Phú Thành,Công ty Cố phần Phú Thành,8.254.118.978,,8.254.118.978,5.340.818.345,5.340.818.345,8254118978.0,,8254118978.0,5340818345.0,5340818345.0
Công ty Cố phần Đầu tư Thương mạiSunshine Tech,Công ty Cố phần Đầu tư Thương mạiSunshine Tech,Công ty Cố phần Đầu tư Thương mạiSunshine Tech,7.360.147.430,,7.360.147.430,-,-,7360147430.0,,7360147430.0,,
Công ty Cố phần Quản lý và Vận hànhS-Service,Công ty Cố phần Quản lý và Vận hànhS-Service,Công ty Cố phần Quản lý và Vận hànhS-Service,4.632.516.250,,4.632.516.250,11.207.444.844,11.207.444.844,4632516250.0,,4632516250.0,11207444844.0,11207444844.0
Công ty Cố phần Tư vấn Đầu tư Pháttriển Xây dựng và Thiết bị phòng cháychữa cháy,Công ty Cố phần Tư vấn Đầu tư Pháttriển Xây dựng và Thiết bị phòng cháychữa cháy,Công ty Cố phần Tư vấn Đầu tư Pháttriển Xây dựng và Thiết bị phòng cháychữa cháy,4.321.180.490,,4.321.180.490,4.454.591.539,4.454.591.539,4321180490.0,,4321180490.0,4454591539.0,4454591539.0
Khác,Khác,Khác,20.437.480.365,,20.437.480.365,24.886.517.178,24.886.517.178,20437480365.0,,20437480365.0,24886517178.0,24886517178.0
,,,278.521.784.136,,278.521.784.136,290.650.609.427,290.650.609.427,278521784136.0,,278521784136.0,290650609427.0,290650609427.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Phải trả người bán là các bên liênquan (Chỉ tiết tại Thuyết minh số 32),Trong đó: > Phải trả người bán là các bên liênquan (Chỉ tiết tại Thuyết minh số 32),Phải trả người bán là các bên liênquan (Chỉ tiết tại Thuyết minh số 32),180.228.206.707,,180.228.206.707,165.251.743.259,165.251.743.259,180228206707.0,,180228206707.0,165251743259.0,165251743259.0
