row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp/ bù trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp/ bù trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp tạm nộp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,4.998.039.390,6.317.258.922,3.487.632.786,2.168.413.254,4998039390.0,6317258922.0,3487632786.0,2168413254.0
,,,4.998.039.390,6.317.258.922,3.487.632.786,2.168.413.254,4998039390.0,6317258922.0,3487632786.0,2168413254.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng đầu ra,b. Các khoản phải trả > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,84.207.580.965,26.038.106.889,84.063.683.911,26.182.003.943,84207580965.0,26038106889.0,84063683911.0,26182003943.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,111.451.562.840,1.771.491.329,39.000.000.000,74.223.054.169,111451562840.0,1771491329.0,39000000000.0,74223054169.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,360.859.017,1.080.971.928,1.063.992.621,377.838.324,360859017.0,1080971928.0,1063992621.0,377838324.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,,-,300.612.801,15.342.315.679,,,300612801.0,15342315679.0
,,,196.020.002.822,44.533.498.626,124.428.289.333,116.125.212.115,196020002822.0,44533498626.0,124428289333.0,116125212115.0
