row_label_raw,row_label_full,col_0,Thuyết minh,2022 Triệu VND,2021 Triệu VND,numeric__Thuyết minh,numeric__2022 Triệu VND,numeric__2021 Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,26,27.509.339,20.975.011,26.0,27509339.0,20975011.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,26,(12.546.784),(9.158.864),26.0,-12546784.0,-9158864.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,26,14.962.555,11.816.147,26.0,14962555.0,11816147.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,27,4.528.970,3.520.700,27.0,4528970.0,3520700.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,27,(1.340.589),(778.748),27.0,-1340589.0,-778748.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27,3.188.381,2.741.952,27.0,3188381.0,2741952.0
Lỗ thuần từ hoạt động kinh doanh ngoại hối,Lỗ thuần từ hoạt động kinh doanh ngoại hối,Lỗ thuần từ hoạt động kinh doanh ngoại hối,28,(275.032),(86.748),28.0,-275032.0,-86748.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,29,(175.843),196.796,29.0,-175843.0,196796.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,408.366,280.404,,408366.0,280404.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(53.484),(59.414),,-53484.0,-59414.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,30,354.882,220.990,30.0,354882.0,220990.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",,2.895,1.766,,2895.0,1766.0
Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,,18.057.838,14.890.903,,18057838.0,14890903.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,31,(6.197.114),(5.281.843),31.0,-6197114.0,-5281843.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,11.860.724,9.609.060,,11860724.0,9609060.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,32,(1.279.609),(1.598.048),32.0,-1279609.0,-1598048.0
Tổng lợi nhuận trước thuế (mang sang trang sau),Tổng lợi nhuận trước thuế (mang sang trang sau),Tổng lợi nhuận trước thuế (mang sang trang sau),,10.581.115,8.011.012,,10581115.0,8011012.0
