row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Chưa quá hạn và chưa phải TLDPTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn dưới 10 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngàyTriệu VND,Quá hạn và đã được TLDP > Triệu VND,Tổng cộng > Triệu VND,numeric__Chưa quá hạn và chưa phải TLDPTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn dưới 10 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngàyTriệu VND,numeric__Quá hạn và đã được TLDP > Triệu VND,numeric__Tổng cộng > Triệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,10.062.633,-,-,-,-,-,-,10.062.633,10062633.0,,,,,,,10062633.0
Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,51.899.808,-,-,-,-,-,-,51.899.808,51899808.0,,,,,,,51899808.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,208.994.331,6.966.669,1.285.856,198.679,219.621,576.834,13.702.026,231.944.016,208994331.0,6966669.0,1285856.0,198679.0,219621.0,576834.0,13702026.0,231944016.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,98.992,-,-,-,-,4.920,-,103.912,98992.0,,,,,4920.0,,103912.0
Chứng khoán đầu tư - gộp (*),Chứng khoán đầu tư - gộp (*),Chứng khoán đầu tư - gộp (*),34.405.032,-,-,-,-,-,-,34.405.032,34405032.0,,,,,,,34405032.0
Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,7.656.302,-,-,-,-,-,-,7.656.302,7656302.0,,,,,,,7656302.0
,,,313.117.098,6.966.669,1.285.856,198.679,219.621,581.754,13.702.026,336.071.703,313117098.0,6966669.0,1285856.0,198679.0,219621.0,581754.0,13702026.0,336071703.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Chưa quá hạn và chưa phải TLDPTriệu VND,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Chưa quá hạn và chưa phải TLDPTriệu VND,Quá hạn dưới 10 ngàyTriệu VND,Quá hạn từ 10 đến 90 ngàyTriệu VND,Quá hạn từ 91 đến 180 ngàyTriệu VND,Quá hạn từ 181 đến 360 ngàyTriệu VND,Quá hạn trên 360 ngàyTriệu VND,Triệu VND,Triệu VND,,,,,,,,
Tiền gửi tại NHNNVN,Tại ngày 31 tháng 12 năm 2021 > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,24.890.710,-,-,-,-,-,-,24.890.710,24890710.0,,,,,,,24890710.0
Tiền gửi và cho vay các TCTD khác - gộp,Tại ngày 31 tháng 12 năm 2021 > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,27.985.117,-,-,-,-,-,-,27.985.117,27985117.0,,,,,,,27985117.0
Cho vay khách hàng - gộp,Tại ngày 31 tháng 12 năm 2021 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,186.771.314,4.576.009,778.055,233.590,204.096,518.718,8.434.972,201.516.754,186771314.0,4576009.0,778055.0,233590.0,204096.0,518718.0,8434972.0,201516754.0
Hoạt động mua nợ - gộp,Tại ngày 31 tháng 12 năm 2021 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,153.668,592,-,-,-,5.766,-,160.026,153668.0,592.0,,,,5766.0,,160026.0
Chứng khoán đầu tư - gộp (*),Tại ngày 31 tháng 12 năm 2021 > Chứng khoán đầu tư - gộp (*),Chứng khoán đầu tư - gộp (*),37.905.635,-,-,-,-,-,-,37.905.635,37905635.0,,,,,,,37905635.0
Tài sản tài chính khác - gộp,Tại ngày 31 tháng 12 năm 2021 > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,9.223.562,-,-,-,-,-,-,9.223.562,9223562.0,,,,,,,9223562.0
,,,286.930.006,4.576.601,778.055,233.590,204.096,524.484,8.434.972,301.681.804,286930006.0,4576601.0,778055.0,233590.0,204096.0,524484.0,8434972.0,301681804.0
