row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2022 Triệu VND,31/12/2021 Triệu VND,numeric__Thuyết minh,numeric__31/12/2022 Triệu VND,numeric__31/12/2021 Triệu VND
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,37,144.234.405,105.632.149,37.0,144234405.0,105632149.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,3.445.803,463.190,,3445803.0,463190.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,344.141,1.099.485,,344141.0,1099485.0
Cam kết giao dịch hoán đồi,Cam kết giao dịch hoán đồi,Cam kết giao dịch hoán đồi,,140.444.461,104.069.474,,140444461.0,104069474.0
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,37,1.319.357,2.932.720,37.0,1319357.0,2932720.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,37,7.401.007,5.093.186,37.0,7401007.0,5093186.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,37,26.162.084,21.620.106,37.0,26162084.0,21620106.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,38,3.100.597,2.941.886,38.0,3100597.0,2941886.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,39,12.960.000,12.103.998,39.0,12960000.0,12103998.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,40,25.777.259,30.060.533,40.0,25777259.0,30060533.0
