row_label_raw,row_label_full,col_0,31/12/2022Triệu VND,%,31/12/2021Triệu VND,%_1,numeric__31/12/2022Triệu VND,numeric__%,numeric__31/12/2021Triệu VND,numeric__%_1
"Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản",234.343,"0,10",163.689,"0,08",234343.0,0.1,163689.0,0.08
Khai khoáng,Khai khoáng,Khai khoáng,397.414,"0,17",906.243,"0,45",397414.0,0.17,906243.0,0.45
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",7.151.325,"3,08",7.179.707,"3,56",7151325.0,3.08,7179707.0,3.56
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",1.471.782,"0,63",1.647.928,"0,82",1471782.0,0.63,1647928.0,0.82
"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",64.830,"0,03",59.585,"0,03",64830.0,0.03,59585.0,0.03
Xây dựng,Xây dựng,Xây dựng,1.535.921,"0,66",1.348.457,"0,67",1535921.0,0.66,1348457.0,0.67
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",7.677.151,"3,31",4.318.103,"2,14",7677151.0,3.31,4318103.0,2.14
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,1.659.163,"0,72",1.681.993,"0,83",1659163.0,0.72,1681993.0,0.83
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.230.298,"0,53",543.172,"0,27",1230298.0,0.53,543172.0,0.27
Thông tin và truyền thống,Thông tin và truyền thống,Thông tin và truyền thống,114.687,"0,05",351.625,"0,17",114687.0,0.05,351625.0,0.17
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",3.481.102,"1,50",4.035.821,"2,00",3481102.0,1.5,4035821.0,2.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,1.995.786,"0,86",2.153.176,"1,07",1995786.0,0.86,2153176.0,1.07
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",517.598,"0,22",500.546,"0,25",517598.0,0.22,500546.0,0.25
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,155.326,"0,07",114.066,"0,06",155326.0,0.07,114066.0,0.06
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,399.819,"0,17",434.839,"0,22",399819.0,0.17,434839.0,0.22
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,36.038,"0,02",50.717,"0,03",36038.0,0.02,50717.0,0.03
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",36.954,"0,02",21.637,"0,01",36954.0,0.02,21637.0,0.01
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,428.015,"0,18",611.614,"0,30",428015.0,0.18,611614.0,0.3
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",203.356.464,"87,68",175.393.836,"87,04",203356464.0,87.68,175393836.0,87.04
,,,231.944.016,"100,00",201.516.754,"100,00",231944016.0,100.0,201516754.0,100.0
