row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Quá hạn > Đến 3 tháng Triệu VND,Quá hạn > Trên 3 tháng Triệu VND,Trong hạn > Đến 1 tháng Triệu VND,Trong hạn > Từ 1 đến 3 tháng Triệu VND,Trong hạn > Từ 3 đến 12 tháng Triệu VND,Trong hạn > Từ 1 năm đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Tổng > Triệu VND,numeric__Quá hạn > Đến 3 tháng Triệu VND,numeric__Quá hạn > Trên 3 tháng Triệu VND,numeric__Trong hạn > Đến 1 tháng Triệu VND,numeric__Trong hạn > Từ 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ 1 năm đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.521.580,-,-,-,-,1.521.580,,,1521580.0,,,,,1521580.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,24.890.710,-,-,-,-,24.890.710,,,24890710.0,,,,,24890710.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,15.019.248,7.911.600,5.054.269,-,-,27.985.117,,,15019248.0,7911600.0,5054269.0,,,27985117.0
Cho vay khách hàng và hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàng và hoạt động mua nợ - gộp,Cho vay khách hàng và hoạt động mua nợ - gộp,562.831,1.250.410,5.666.817,15.817.633,52.111.433,60.555.589,65.712.067,201.676.780,562831.0,1250410.0,5666817.0,15817633.0,52111433.0,60555589.0,65712067.0,201676780.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,500.223,4.369.256,27.573.937,9.820.021,2.493.457,44.756.894,,,500223.0,4369256.0,27573937.0,9820021.0,2493457.0,44756894.0
"Gớp vốn, đầu tư dài hạn","Tài sản > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",-,-,-,-,-,-,69.719,69.719,,,,,,,69719.0,69719.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,-,607.005,607.005,,,,,,,607005.0,607005.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,-,-,2.597.226,2.838.949,5.043.628,-,-,10.479.803,,,2597226.0,2838949.0,5043628.0,,,10479803.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,562.831,1.250.410,50.195.804,30.937.438,89.783.267,70.375.610,68.882.248,311.987.608,562831.0,1250410.0,50195804.0,30937438.0,89783267.0,70375610.0,68882248.0,311987608.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,31.210.159,16.227.529,9.496.408,7.522.362,12,64.456.470,,,31210159.0,16227529.0,9496408.0,7522362.0,12.0,64456470.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,71.838.200,32.716.021,30.831.698,38.178.521,450,173.564.890,,,71838200.0,32716021.0,30831698.0,38178521.0,450.0,173564890.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,63.933,-,-,-,-,63.933,,,63933.0,,,,,63933.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,3.892,4.756,-,-,8.648,,,,3892.0,4756.0,,,8648.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,578.293,2.234.000,7.989.500,28.316.389,3.180.000,42.298.182,,,578293.0,2234000.0,7989500.0,28316389.0,3180000.0,42298182.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.575.035,-,2.259.231,-,-,4.834.266,,,2575035.0,,2259231.0,,,4834266.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,106.265.620,51.181.442,50.581.593,74.017.272,3.180.462,285.226.389,,,106265620.0,51181442.0,50581593.0,74017272.0,3180462.0,285226389.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,562.831,1.250.410,(56.069.816),(20.244.004),39.201.674,(3.641.662),65.701.786,26.761.219,562831.0,1250410.0,-56069816.0,-20244004.0,39201674.0,-3641662.0,65701786.0,26761219.0
