row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Giá trị ghi sổ > Giá trị hợp lý thông qua BCKQHĐ Triệu VND,Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu VND,Giá trị ghi sổ > Cho vay và phải thu Triệu VND,Giá trị ghi sổ > Sẵn sàng để bán Triệu VND,Giá trị ghi sổ > Hạch toán theo giá trị phân bổ Triệu VND,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu VND,Giá trị hợp lý > Triệu VND,numeric__Giá trị ghi sổ > Giá trị hợp lý thông qua BCKQHĐ Triệu VND,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu VND,numeric__Giá trị ghi sổ > Cho vay và phải thu Triệu VND,numeric__Giá trị ghi sổ > Sẵn sàng để bán Triệu VND,numeric__Giá trị ghi sổ > Hạch toán theo giá trị phân bổ Triệu VND,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu VND,numeric__Giá trị hợp lý > Triệu VND
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.617.931,-,-,1.617.931,1.617.931,,,1617931.0,,,1617931.0,1617931.0
Tiền gửi tại NHNNVN,Tải sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,10.062.633,-,-,10.062.633,10.062.633,,,10062633.0,,,10062633.0,10062633.0
Tiền gửi và cho vay các TCTD khác - thuần,Tải sản tài chính > Tiền gửi và cho vay các TCTD khác - thuần,Tiền gửi và cho vay các TCTD khác - thuần,-,-,51.899.808,-,-,51.899.808,(*),,,51899808.0,,,51899808.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản tài chính > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,20.958,-,-,-,-,20.958,(*),20958.0,,,,,20958.0,
Cho vay khách hàng - thuần,Tải sản tài chính > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,-,-,228.879.243,-,-,228.879.243,(*),,,228879243.0,,,228879243.0,
Hoạt động mua nợ - thuần,Tải sản tài chính > Hoạt động mua nợ - thuần,Hoạt động mua nợ - thuần,-,-,103.160,-,-,103.160,(*),,,103160.0,,,103160.0,
Chứng khoán đầu tư - thuần,Tải sản tài chính > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,-,42.062,-,40.236.658,,40.278.720,(*),,42062.0,,40236658.0,,40278720.0,
"Góp vốn, đầu tư dài hạn - thuần","Tải sản tài chính > Góp vốn, đầu tư dài hạn - thuần","Góp vốn, đầu tư dài hạn - thuần",-,-,-,69.457,-,69.457,(*),,,,69457.0,,69457.0,
Tài sản tài chính khác,Tải sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,7.656.303,-,-,7.656.303,(*),,,7656303.0,,,7656303.0,
,,,20.958,42.062,300.219.078,40.306.115,-,340.588.213,,20958.0,42062.0,300219078.0,40306115.0,,340588213.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,71.166.441,71.166.441,(*),,,,,71166441.0,71166441.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,200.123.940,200.123.940,(*),,,,,200123940.0,200123940.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,8.092,8.092,(*),,,,,8092.0,8092.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,31.774.818,31.774.818,(*),,,,,31774818.0,31774818.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,-,4.685.929,4.685.929,(*),,,,,4685929.0,4685929.0,
,,,-,-,-,-,307.759.220,307.759.220,,,,,,307759220.0,307759220.0,
