row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2022,Mức độ ảnh hưởngtăng/(giảm) đến lợinhuyện trước thuếcho năm kết thúcngày 31/12/2022Triệu VND,numeric__Mức tănglãi suất31/12/2022,numeric__Mức độ ảnh hưởngtăng/(giảm) đến lợinhuyện trước thuếcho năm kết thúcngày 31/12/2022Triệu VND
VND,VND,VND,"2,00%",940.916,0.02,940916.0
USD,USD,USD,"0,50%",269.868,0.005,269868.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,
Loại tiền,Loại tiền,Loại tiền,Mức tănglãi suất31/12/2021,Mức độ ảnh hưởngtăng/(giảm) đến lợinhuyện trước thuếcho năm kết thúcngày 31/12/2021Triệu VND,,
VND,Loại tiền > VND,VND,"1,00%",63.750,0.01,63750.0
USD,Loại tiền > USD,USD,"0,25%",140.283,0.0025,140283.0
