row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Tài sân cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tài sân cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.237,363.123,7.246,378.606,8237.0,363123.0,7246.0,378606.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,212.902,-,212.902,,212902.0,,212902.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(8.237),-,-,(8.237),-8237.0,,,-8237.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,576.025,7.246,583.271,,576025.0,7246.0,583271.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,227.616,7.199,234.815,,227616.0,7199.0,234815.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,46.321,22,46.343,,46321.0,22.0,46343.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,273.937,7.221,281.158,,273937.0,7221.0,281158.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,8.237,135.507,47,143.791,8237.0,135507.0,47.0,143791.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,302.088,25,302.113,,302088.0,25.0,302113.0
