row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Tăng VND,Cán trừ VND,Vay dài hạn đảo hạn lại trong vòng một năm VND,Giảm do chuyển nhượng công ty con VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Tăng VND,numeric__Cán trừ VND,numeric__Vay dài hạn đảo hạn lại trong vòng một năm VND,numeric__Giảm do chuyển nhượng công ty con VND,numeric__Tại ngày cuối năm VND
Vay bên thứ ba,Vay bên thứ ba,Vay bên thứ ba,211.590.000.000,-,-,(211.590.000.000),-,-,211590000000.0,,,-211590000000.0,,
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),8.301.172.305.748,368.088.398.749,-,(669.181.333.332),(34.659.461.550),7.965.419.909.615,8301172305748.0,368088398749.0,,-669181333332.0,-34659461550.0,7965419909615.0
Phát hành trái phiếu (ii),Phát hành trái phiếu (ii),Phát hành trái phiếu (ii),163.517.700.000,494.968.668.814,-,(60.000.000.000),-,598.486.368.814,163517700000.0,494968668814.0,,-60000000000.0,,598486368814.0
Nợ thuê tài chính (iii),Nợ thuê tài chính (iii),Nợ thuê tài chính (iii),5.716.146.095,51.348.575.975,(7.702.575.000),(17.189.491.617),-,32.172.655.453,5716146095.0,51348575975.0,-7702575000.0,-17189491617.0,,32172655453.0
,,,8.681.996.151.843,914.405.643.538,(7.702.575.000),(957.960.824.949),(34.659.461.550),8.596.078.933.882,8681996151843.0,914405643538.0,-7702575000.0,-957960824949.0,-34659461550.0,8596078933882.0
