row_label_raw,row_label_full,Code,col_1,Note,Current year VND,Previous year VND,numeric__col_1,numeric__Note,numeric__Current year VND,numeric__Previous year VND
,,,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,,
31,31,31,Proceeds from share issuance of non-controlling interest shareholders,,"200,000,000","113,883,080,000",,,,
33,33,33,Proceeds from borrowings,,"1,057,809,183,019","2,365,726,854,461",,,,
34,34,34,Repayments of borrowings,,"(1,963,830,390,300)","(2,196,460,215,564)",,,,
35,35,35,Finance lease principal repayments,,"(8,460,291,486)","(4,095,691,380)",,,,
36,36,36,Dividends paid to shareholders,,"(76,197,803,000)","(84,295,256,500)",,,,
40,40,40,Net cash (outflows)/inflows from financing activities,,"(990,479,301,767)","194,758,771,017",,,,
50,50,50,Net decrease in cash and cash equivalents,,"(65,434,722,535)","(104,890,430,368)",,,,
60,50 > 60,60,Cash and cash equivalents at beginning of year,3,"229,105,088,949","333,840,180,277",,3.0,,
61,61,61,Effect of foreign exchange differences,,"47,340,658","155,339,040",,,,
70,61 > 70,70,Cash and cash equivalents at end of year,3,"163,717,707,072","229,105,088,949",,3.0,,
