row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term prepayment to suppliers (Note 6),Short-term prepayment to suppliers (Note 6),Short-term prepayment to suppliers (Note 6),Short-term prepayment to suppliers (Note 6),Short-term prepayment to suppliers (Note 6),,
Tan Dinh Import Export Joint Stock Company,Tan Dinh Import Export Joint Stock Company,Tan Dinh Import Export Joint Stock Company,"199,550,000",-,,
Toan Hai Van Joint Stock Company,Toan Hai Van Joint Stock Company,Toan Hai Van Joint Stock Company,-,"764,356,515",,
,,,"199,550,000","764,356,515",,
Short-term lendings (Note 7),Short-term lendings (Note 7),Short-term lendings (Note 7),Short-term lendings (Note 7),Short-term lendings (Note 7),,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,"180,900,000,000","180,900,000,000",,
Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,"54,420,000,000","44,420,000,000",,
Ninh Thuan Green Energy Joint Stock Company,Ninh Thuan Green Energy Joint Stock Company,Ninh Thuan Green Energy Joint Stock Company,"4,000,000,000","4,000,000,000",,
Lavi Wind Power Joint Stock Company,Lavi Wind Power Joint Stock Company,Lavi Wind Power Joint Stock Company,"3,000,000,000",-,,
,,,"242,320,000,000","229,320,000,000",,
Long-term lendings,Long-term lendings,Long-term lendings,Long-term lendings,Long-term lendings,,
Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,-,"20,000,000,000",,
Other short-term receivables (Note 8(a)),Other short-term receivables (Note 8(a)),Other short-term receivables (Note 8(a)),Other short-term receivables (Note 8(a)),Other short-term receivables (Note 8(a)),,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,"21,785,884,931","5,308,506,385",,
Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,"14,759,947,948","9,212,928,773",,
Ninh Thuan Green Energy Joint Stock Company,Ninh Thuan Green Energy Joint Stock Company,Ninh Thuan Green Energy Joint Stock Company,"1,945,890,418","1,584,904,114",,
,,,"38,491,723,297","16,106,339,272",,
Other long-term receivables (Note 8(b)),Other long-term receivables (Note 8(b)),Other long-term receivables (Note 8(b)),Other long-term receivables (Note 8(b)),Other long-term receivables (Note 8(b)),,
Thanh Thanh Nam Joint Stock Company,Thanh Thanh Nam Joint Stock Company,Thanh Thanh Nam Joint Stock Company,"498,204,382","498,204,382",,
