row_label_raw,row_label_full,Code,ASSETS (continued),Note,End of year VND,Beginning of year VND,numeric__ASSETS (continued),numeric__Note,numeric__End of year VND,numeric__Beginning of year VND
200,200,200,LONG-TERM ASSETS,,"13,791,844,798,232","14,673,886,939,540",,,,
210,210,210,Long-term receivables,,"29,387,889,833","40,706,085,155",,,,
215,215,215,Long-term lending,,-,"20,000,000,000",,,,
216,216,216,Other long-term receivables,8(b),"29,539,599,675","20,857,794,997",,,,
219,219,219,Provision for doubtful debts – long term,,"(151,709,842)","(151,709,842)",,,,
220,220,220,Fixed assets,,"13,296,243,774,856","14,067,796,955,275",,,,
221,221,221,Tangible fixed assets,11(a),"13,208,513,709,407","14,019,492,297,141",,,,
222,222,222,Historical cost,,"16,881,576,550,705","16,908,639,318,236",,,,
223,223,223,Accumulated depreciation,,"(3,673,062,841,298)","(2,889,147,021,095)",,,,
224,224,224,Finance lease fixed assets,11(b),"66,309,267,107","23,106,531,676",,,,
225,225,225,Historical cost,,"74,767,112,572","28,086,588,959",,,,
226,226,226,Accumulated depreciation,,"(8,457,845,465)","(4,980,057,283)",,,,
227,227,227,Intangible fixed assets,11(c),"21,420,798,342","25,198,126,458",,,,
228,228,228,Historical cost,,"39,381,555,527","39,366,555,527",,,,
229,229,229,Accumulated amortisation,,"(17,960,757,185)","(14,168,429,069)",,,,
240,240,240,Long-term assets in progress,,"268,369,957,402","358,893,849,428",,,,
242,240 > 242,242,Construction in progress,12,"268,369,957,402","358,893,849,428",,12.0,,
250,250,250,Long-term investments,,"173,517,461,623","168,150,343,624",,,,
252,252,252,Investments in associates,4(b),"173,517,461,623","168,150,343,624",,,,
260,260,260,Other long-term assets,,"24,325,714,518","38,339,706,058",,,,
261,261,261,Long-term prepaid expenses,10(b),"24,325,714,518","29,859,287,242",,,,
262,261 > 262,262,Deferred income tax assets,20,-,"8,480,418,816",,20.0,,
270,270,270,TOTAL ASSETS,,"15,173,556,340,436","16,132,370,906,968",,,,
