row_label_raw,row_label_full,col_0,Owners' capital VND,Share premium VND,Investment and development fund VND,Undistributed earnings VND,Non-controlling interests VND,Total VND,numeric__Owners' capital VND,numeric__Share premium VND,numeric__Investment and development fund VND,numeric__Undistributed earnings VND,numeric__Non-controlling interests VND,numeric__Total VND
As at 1 January 2023,As at 1 January 2023,As at 1 January 2023,"3,861,369,020,000","25,866,057,484","98,024,005,628","292,430,636,129","1,352,045,552,715","5,629,735,271,956",,,,,,
Capital increase during the year,Capital increase during the year,Capital increase during the year,-,-,-,-,"113,883,080,000","113,883,080,000",,,,,,
Shares dividend issued,Shares dividend issued,Shares dividend issued,"193,124,990,000",-,-,"(193,124,990,000)",-,-,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"137,243,674,272","6,080,272,840","143,323,947,112",,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(24,877,054,641)","(5,434,173,283)","(30,311,227,924)",,,,,,
Dividends paid by cash,Dividends paid by cash,Dividends paid by cash,-,-,-,"(39,290,400,000)","(44,787,168,400)","(84,077,568,400)",,,,,,
Cost related to the new shares issuance,Cost related to the new shares issuance,Cost related to the new shares issuance,-,"(5,166,000,000)",-,-,-,"(5,166,000,000)",,,,,,
Change in ownership interest in subsidiaries,Change in ownership interest in subsidiaries,Change in ownership interest in subsidiaries,-,-,-,"4,584,677,746","(4,584,677,746)",-,,,,,,
Reversal of investment and development fund,Reversal of investment and development fund,Reversal of investment and development fund,-,-,"(1,288,151,865)","1,288,151,865",-,-,,,,,,
Others,Others,Others,-,-,"(381,767,940)","253,538,317","63,118,861","(65,110,762)",,,,,,
As at 1 December 2023,As at 1 December 2023,As at 1 December 2023,"4,054,494,010,000","20,700,057,484","96,354,085,823","178,508,233,688","1,417,266,004,987","5,767,322,391,982",,,,,,
Capital increase during the year,Capital increase during the year,Capital increase during the year,-,-,-,-,"200,000,000","200,000,000",,,,,,
Shares dividend issued (*),Shares dividend issued (*),Shares dividend issued (*),"170,589,700,000",-,-,"(170,589,700,000)",-,-,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"114,823,028,545","(22,749,638,463)","92,073,390,082",,,,,,
Appropriation to bonus and welfare fund (**) (Note 19),Appropriation to bonus and welfare fund (**) (Note 19),Appropriation to bonus and welfare fund (**) (Note 19),-,-,-,"(15,006,528,380)","(4,818,393,061)","(19,824,921,441)",,,,,,
Dividends paid by cash (***),Dividends paid by cash (***),Dividends paid by cash (***),-,-,,"(30,522,176,434)","(45,649,453,366)","(76,171,629,800)",,,,,,
Change in ownership interest in subsidiaries,Change in ownership interest in subsidiaries,Change in ownership interest in subsidiaries,-,-,-,"(941,462,752)","941,462,752",-,,,,,,
Disposal of a subsidiary,Disposal of a subsidiary,Disposal of a subsidiary,-,-,,"6,804,009,016","(5,740,545,423)","1,063,463,593",,,,,,
Others,Others,Others,-,-,"(173,671,938)",-,-,"(173,671,938)",,,,,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"4,225,083,710,000","20,700,057,484","96,180,413,885","83,075,403,683","1,339,449,437,426","5,764,489,022,478",,,,,,
