row_label_raw,row_label_full,Code,RESOURCES,Note,End of year VND,Beginning of year VND,numeric__RESOURCES,numeric__Note,numeric__End of year VND,numeric__Beginning of year VND
300,300,300,LIABILITIES,,"9,409,067,317,958","10,365,048,514,986",,,,
310,310,310,Short-term liabilities,,"785,159,808,730","1,679,163,688,421",,,,
311,310 > 311,311,Short-term trade accounts payable,13,"32,283,866,757","74,935,697,190",,13.0,,
312,310 > 312,312,Short-term advances from customers,14,"1,490,511,247","1,930,007,663",,14.0,,
313,313,313,Tax and other payables to the State,15(b),"47,951,063,315","58,180,592,288",,,,
314,314,314,Payable to employees,,"785,066,665","637,738,211",,,,
315,314 > 315,315,Short-term accrued expenses,16,"24,317,673,288","50,007,562,902",,16.0,,
318,318,318,Short-term unearned revenue,,"93,185,392","117,512,892",,,,
319,318 > 319,319,Other short-term payables,17,"9,480,430,736","9,956,056,446",,17.0,,
320,320,320,Short-term borrowings and finance lease liabilities,18(a),"596,947,078,982","1,414,512,464,303",,,,
322,320 > 322,322,Bonus and welfare fund,19,"71,810,932,348","68,886,056,526",,19.0,,
330,330,330,Long-term liabilities,,"8,623,907,509,228","8,685,884,826,565",,,,
336,336,336,Long-term unearned revenue,,"277,272,726","423,040,722",,,,
337,337,337,Other long-term payables,,"14,850,000","1,399,800,000",,,,
338,338,338,Long-term borrowings and finance lease liabilities,18(b),"8,596,078,933,882","8,681,996,151,843",,,,
341,338 > 341,341,Deferred income tax liabilities,20,"25,605,398,335",-,,20.0,,
342,342,342,Provision for long-term liabilities,,"1,931,054,285","2,065,834,000",,,,
400,400,400,OWNERS' EQUITY,,"5,764,489,022,478","5,767,322,391,982",,,,
410,410,410,Capital and reserves,,"5,764,489,022,478","5,767,322,391,982",,,,
411,411,411,Owners' capital,"21, 22","4,225,083,710,000","4,054,494,010,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"3,583,083,710,000","3,412,494,010,000",,,,
411b,411b,411b,- Preference shares,,"642,000,000,000","642,000,000,000",,,,
412,411b > 412,412,Share premium,22,"20,700,057,484","20,700,057,484",,22.0,,
418,411b > 418,418,Investment and development fund,22,"96,180,413,885","96,354,085,823",,22.0,,
421,411b > 421,421,Undistributed earnings,22,"83,075,403,683","178,508,233,688",,22.0,,
421a,421a,421a,- Undistributed post-tax profits of previous years,,"9,111,150,106","100,847,336,311",,,,
421b,421b,421b,- Post-tax profits of current year,,"73,964,253,577","77,660,897,377",,,,
429,421b > 429,429,Non-controlling interests,22,"1,339,449,437,426","1,417,266,004,987",,22.0,,
