row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"181,530,596,172","195,013,743,724",,
Effects of:,Effects of:,Effects of:,Effects of:,Effects of:,,
Expenses not deductible for tax purposes,Expenses not deductible for tax purposes,Expenses not deductible for tax purposes,"134,510,643,527","118,280,353,717",,
Tax losses for which no deferred income tax asset was recognised (*),Tax losses for which no deferred income tax asset was recognised (*),Tax losses for which no deferred income tax asset was recognised (*),"278,882,729,689","136,160,058,821",,
Temporary differences for which no deferred income tax was recognised,Temporary differences for which no deferred income tax was recognised,Temporary differences for which no deferred income tax was recognised,"33,972,319,497","(30,859,474,040)",,
Utilisation of previously unrecognised tax losses,Utilisation of previously unrecognised tax losses,Utilisation of previously unrecognised tax losses,"(222,450,625)",-,,
Estimated taxable income,Estimated taxable income,Estimated taxable income,"628,673,838,260","418,594,682,222",,
Tax at the tax rate of 20%,Tax at the tax rate of 20%,Tax at the tax rate of 20%,"84,841,663,716","56,434,954,410",,
Tax at the tax rate of 10%,Tax at the tax rate of 10%,Tax at the tax rate of 10%,"20,446,551,968","14,446,071,971",,
,,,"105,288,215,684","70,881,026,381",,
Tax incentives,Tax incentives,Tax incentives,"(21,539,071,258)","(19,191,229,769)",,
CIT of previous years,CIT of previous years,CIT of previous years,"5,708,061,664",-,,
CIT charge (**),CIT charge (**),CIT charge (**),"89,457,206,090","51,689,796,612",,
Charged to the consolidated income statement:,Charged to the consolidated income statement:,Charged to the consolidated income statement:,Charged to the consolidated income statement:,Charged to the consolidated income statement:,,
CIT – current,CIT – current,CIT – current,"55,371,388,939","46,864,367,463",,
CIT – deferred (Note 20),CIT – deferred (Note 20),CIT – deferred (Note 20),"34,085,817,151","4,825,429,149",,
CIT charge,CIT charge,CIT charge,"89,457,206,090","51,689,796,612",,
