row_label_raw,row_label_full,col_0,Current year,Current year_1,Previous year,Previous year_1,numeric__Current year,numeric__Current year_1,numeric__Previous year,numeric__Previous year_1
,,,Cost VND,Provision VND,Cost VND,Provision VND,,,,
Merchandises,Merchandises,Merchandises,"92,719,287,760","(36,749,161,000)","62,195,267,031",-,,,,
Raw materials,Raw materials,Raw materials,"42,849,825,249",-,"45,309,196,621",-,,,,
Tools and supplies,Tools and supplies,Tools and supplies,"16,494,763,094",-,"16,450,766,170",-,,,,
Work in progress,Work in progress,Work in progress,"3,422,041,356",-,"2,574,227,536",-,,,,
Finished goods,Finished goods,Finished goods,"85,864,571",-,"85,864,571",-,,,,
,,,"155,571,782,030","(36,749,161,000)","126,615,321,929",-,,,,
