row_label_raw,row_label_full,col_0,As at beginning of year VND,Increase VND,Decrease VND,Current portion of long-term borrowings VND,Disposal of a subsidiary,As at end of year VND,numeric__As at beginning of year VND,numeric__Increase VND,numeric__Decrease VND,numeric__Current portion of long-term borrowings VND,numeric__Disposal of a subsidiary,numeric__As at end of year VND
Borrowings from banks (i),Borrowings from banks (i),Borrowings from banks (i),"115,675,846,838","195,880,784,270","(273,337,056,968)",-,-,"38,219,574,140",,,,,,
Current portion of issued bonds (Note18(b)),Current portion of issued bonds (Note18(b)),Current portion of issued bonds (Note18(b)),"848,615,235,831",,"(848,615,235,831)","60,000,000,000",-,"60,000,000,000",,,,,,
Current portion of long-term borrowings from banks (Note 18(b)),Current portion of long-term borrowings from banks (Note 18(b)),Current portion of long-term borrowings from banks (Note 18(b)),"446,044,410,255",-,"(839,071,333,332)","669,181,333,332","(1,923,076,923)","274,231,333,332",,,,,,
Current portion of financial leases (Note 19(b)),Current portion of financial leases (Note 19(b)),Current portion of financial leases (Note 19(b)),"4,095,691,380",-,"(8,460,291,486)","17,189,491,617",-,"12,824,891,511",,,,,,
Borrowings from third party (ii),Borrowings from third party (ii),Borrowings from third party (ii),-,-,-,"211,590,000,000",-,"211,590,000,000",,,,,,
Others,Others,Others,"81,279,999",-,-,-,-,"81,279,999",,,,,,
,,,"1,414,512,464,303","195,880,784,270","(1,969,483,917,617)","957,960,824,949","(1,923,076,923)","596,947,078,982",,,,,,
