row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số VND,Số cuối năm > Giá trị hợp lý VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị ghi số VND,Số đầu năm > Giá trị hợp lý VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị ghi số VND,numeric__Số đầu năm > Giá trị hợp lý VND,numeric__Số đầu năm > Dự phòng VND
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,121.026.987.133,(*),-,117.551.016.658,(*),-,121026987133.0,,,117551016658.0,,
Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,52.490.474.490,(*),-,50.599.326.966,-,-,52490474490.0,,,50599326966.0,,
,,,173.517.461.623,,-,168.150.343.624,,-,173517461623.0,,,168150343624.0,,
