row_label_raw,row_label_full,Code,col_1,Note,Current year VND,Previous year VND,numeric__col_1,numeric__Note,numeric__Current year VND,numeric__Previous year VND
01,01,01,Revenue from sales of goods and rendering of services,,"2,325,314,422,750","2,163,456,147,696",,,,
02,02,02,Less deductions,,-,-,,,,
10,02 > 10,10,Net revenue from sales of goods and rendering of services (10 = 01 - 02),25,"2,325,314,422,750","2,163,456,147,696",,25.0,,
11,02 > 11,11,Cost of goods sold and services rendered,26,"1,252,130,796,010","1,042,528,569,954",,26.0,,
20,20,20,Gross profit from sales of goods and rendering of services (20 = 10 - 11),,"1,073,183,626,740","1,120,927,577,742",,,,
21,20 > 21,21,Financial income,27,"38,028,122,572","100,599,754,753",,27.0,,
22,20 > 22,22,Financial expenses,28,"801,100,868,886","870,734,223,835",,28.0,,
23,20 > 23,23,- Including: Interest expenses,28,"785,725,023,247","841,733,441,926",,28.0,,
24,24,24,Profit sharing from associates,4(b),"5,367,117,999","5,210,379,437",,,,
25,25,25,Selling expenses,,"25,000,000","985,267,357",,,,
26,25 > 26,26,General and administration expenses,29,"135,489,654,026","158,479,036,896",,29.0,,
30,30,30,Net operating profit(30 = 20 + 21 - 22 + 24 - 25 - 26),,"179,963,344,399","196,539,183,844",,,,
31,31,31,Other income,,"4,866,550,788","5,140,742,377",,,,
32,32,32,Other expenses,,"3,299,299,015","6,666,182,497",,,,
40,32 > 40,40,Net other income/(expenses) (40 = 31 - 32),30,"1,567,251,773","(1,525,440,120)",,30.0,,
50,50,50,Accounting profit before tax,,"181,530,596,172","195,013,743,724",,,,
51,50 > 51,51,"Corporate income tax (""CIT"") - current",31,"55,371,388,939","46,864,367,463",,31.0,,
52,50 > 52,52,Corporate income tax - deferred,31,"34,085,817,151","4,825,429,149",,31.0,,
60,60,60,Profit after tax (60 = 50 - 51 - 52),,"92,073,390,082","143,323,947,112",,,,
,,,Attributable to:,,,,,,,
61,61,61,Owners of the parent company,,"114,823,028,545","137,243,674,272",,,,
62,62,62,Non-controlling interests,,"(22,749,638,463)","6,080,272,840",,,,
70,62 > 70,70,Basic earnings per share,23(a),174,197,,,174.0,197.0
71,62 > 71,71,Diluted earnings per share,23(b),174,197,,,174.0,197.0
