row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền dẫnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,3.945.253.174.450,10.027.382.805.605,2.537.047.529.449,241.588.945.473,157.366.863.259,16.908.639.318.236,3945253174450.0,10027382805605.0,2537047529449.0,241588945473.0,157366863259.0,16908639318236.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,34.594.000,2.354.616.501,644.165.374,2.113.457.879,1.099.638.000,6.246.471.754,34594000.0,2354616501.0,644165374.0,2113457879.0,1099638000.0,6246471754.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),9.780.668.525,74.026.963.266,-,-,-,83.807.631.791,9780668525.0,74026963266.0,,,,83807631791.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(50.910.687.953),(6.426.590.637),(48.400.000),(1.069.181.800),(58.454.860.390),,-50910687953.0,-6426590637.0,-48400000.0,-1069181800.0,-58454860390.0
Khác,Nguyên giá > Khác,Khác,-,(313.277.834),-,-,-,(313.277.834),,-313277834.0,,,,-313277834.0
Giảm do chuyển nhượng công ty con,Nguyên giá > Giảm do chuyển nhượng công ty con,Giảm do chuyển nhượng công ty con,-,(58.348.732.852),-,-,-,(58.348.732.852),,-58348732852.0,,,,-58348732852.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,3.955.068.436.975,9.994.191.686.733,2.531.265.104.186,243.654.003.352,157.397.319.459,16.881.576.550.705,3955068436975.0,9994191686733.0,2531265104186.0,243654003352.0,157397319459.0,16881576550705.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,813.882.648.274,1.652.409.012.171,264.780.701.249,70.425.704.095,87.648.955.306,2.889.147.021.095,813882648274.0,1652409012171.0,264780701249.0,70425704095.0,87648955306.0,2889147021095.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,161.083.092.496,507.458.223.275,103.802.321.136,22.656.750.391,2.016.247.262,797.016.634.560,161083092496.0,507458223275.0,103802321136.0,22656750391.0,2016247262.0,797016634560.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(9.803.163.233),(1.785.954.724),(48.400.000),(136.818.820),(11.774.336.777),,-9803163233.0,-1785954724.0,-48400000.0,-136818820.0,-11774336777.0
Khác,Khấu hao lũy kế > Khác,Khác,-,(23.523.903),-,-,-,(23.523.903),,-23523903.0,,,,-23523903.0
Giảm do chuyển nhượng công ty con,Khấu hao lũy kế > Giảm do chuyển nhượng công ty con,Giảm do chuyển nhượng công ty con,-,(1.302.953.677),-,-,-,(1.302.953.677),,-1302953677.0,,,,-1302953677.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,974.965.740.770,2.148.737.594.633,366.797.067.661,93.034.054.486,89.528.383.748,3.673.062.841.298,974965740770.0,2148737594633.0,366797067661.0,93034054486.0,89528383748.0,3673062841298.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.131.370.526.176,8.374.973.793.434,2.272.266.828.200,171.163.241.378,69.717.907.953,14.019.492.297.141,3131370526176.0,8374973793434.0,2272266828200.0,171163241378.0,69717907953.0,14019492297141.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,2.980.102.696.205,7.845.454.092.100,2.164.468.036.525,150.619.948.866,67.868.935.711,13.208.513.709.407,2980102696205.0,7845454092100.0,2164468036525.0,150619948866.0,67868935711.0,13208513709407.0
