row_label_raw,row_label_full,col_0,Current year,Previous year (**),numeric__Current year,numeric__Previous year (**)
Net profit attributable to shareholders (VND),Net profit attributable to shareholders (VND),Net profit attributable to shareholders (VND),"114,823,028,545","137,243,674,272",,
Dividend on preference shares,Dividend on preference shares,Dividend on preference shares,"(40,076,208,000)","(39,290,400,000)",,
Less amount allocated to bonus and welfare funds (VND) (*),Less amount allocated to bonus and welfare funds (VND) (*),Less amount allocated to bonus and welfare funds (VND) (*),"(12,381,585,926)","(27,501,997,095)",,
,,,"62,365,234,619","70,451,277,177",,
Weighted average number of ordinary shares in issue (shares) (**),Weighted average number of ordinary shares in issue (shares) (**),Weighted average number of ordinary shares in issue (shares) (**),"358,308,371","358,308,371",,
Basic earnings per share (VND),Weighted average number of ordinary shares in issue (shares) (**) > Basic earnings per share (VND),Basic earnings per share (VND),174,197,174.0,197.0
