row_label_raw,row_label_full,Code,col_1,Note,Current year VND,Previous year VND,numeric__col_1,numeric__Note,numeric__Current year VND,numeric__Previous year VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,,
01,01,01,Accounting profit before tax,,"181,530,596,172","195,013,743,724",,,,
01,01,01,Adjustments for:,,,,,,,
02,02,02,Depreciation and amortisation,,"804,297,740,099","697,158,468,900",,,,
03,03,03,Provisions,,"36,722,889,238","263,661,851",,,,
04,04,04,Unrealised foreign exchange gains,,"(47,340,658)","(1,955,339,040)",,,,
05,05,05,Profits from investing activities,,"(41,203,805,966)","(92,030,681,923)",,,,
06,06,06,Interest expense and bond issuance fee,,"789,660,456,230","851,087,920,188",,,,
08,08,08,Operating profit before changes in working capital,,"1,770,960,535,115","1,649,537,773,700",,,,
09,09,09,Decrease in receivables,,"20,157,535,979","325,420,062,063",,,,
10,10,10,Decrease in inventories,,"21,454,988,635","25,480,839,525",,,,
11,11,11,Decrease in payables,,"(12,126,088,473)","(40,580,212,811)",,,,
12,12,12,Increase in prepaid expenses,,"(5,130,188,043)","(2,860,621,887)",,,,
14,14,14,Interest paid,,"(804,255,448,226)","(853,528,257,522)",,,,
15,15,15,CIT paid,,"(61,496,640,337)","(17,837,233,836)",,,,
17,17,17,Other payments on operating activities,,"(16,900,045,619)","(22,446,182,099)",,,,
20,20,20,Net cash inflows from operating activities,,"912,664,649,031","1,063,186,167,133",,,,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
21,21,21,Purchases of fixed assets and other long-term assets,,"(102,100,056,932)","(1,580,177,742,503)",,,,
22,22,22,Proceeds from disposals of fixed assets and long-term assets,,"39,836,836,420","1,712,915,828",,,,
23,23,23,Loans granted and deposits with a term of more than 3 months,,"(14,520,211,262)","(250,152,700,000)",,,,
24,24,24,Collection of loans and deposits with a term of more than 3 months,,"15,347,911,262","524,205,000,000",,,,
25,25,25,Investments in an associate and subsidiary acquisition,,-,"(141,642,331,172)",,,,
26,26,26,Proceeds from divestment of investments in subsidiaries,,"58,170,262,912","56,935,944,462",,,,
27,27,27,Interest received,,"15,645,187,801","26,283,544,867",,,,
30,30,30,Net cash inflows/(outflows) from investing activities,,"12,379,930,201","(1,362,835,368,518)",,,,
