row_label_raw,row_label_full,col_0,As at beginning of year VND,Increase VND,Net-off VND,Current portion of long-term borrowings VND,Disposal of a subsidiary VND,As at end of year VND,numeric__As at beginning of year VND,numeric__Increase VND,numeric__Net-off VND,numeric__Current portion of long-term borrowings VND,numeric__Disposal of a subsidiary VND,numeric__As at end of year VND
Borrowings from third party,Borrowings from third party,Borrowings from third party,"211,590,000,000",-,-,"(211,590,000,000)",-,-,,,,,,
Bank loans (i),Bank loans (i),Bank loans (i),"8,301,172,305,748","368,088,398,749",-,"(669,181,333,332)","(34,659,461,550)","7,965,419,909,615",,,,,,
Issued bonds (ii),Issued bonds (ii),Issued bonds (ii),"163,517,700,000","494,968,668,814",-,"(60,000,000,000)",-,"598,486,368,814",,,,,,
Financial lease (iii),Financial lease (iii),Financial lease (iii),"5,716,146,095","51,348,575,975","(7,702,575,000)","(17,189,491,617)",-,"32,172,655,453",,,,,,
,,,"8,681,996,151,843","914,405,643,538","(7,702,575,000)","(957,960,824,949)","(34,659,461,550)","8,596,078,933,882",,,,,,
