row_label_raw,row_label_full,col_0,End of period VND,Beginning of year VND,numeric__End of period VND,numeric__Beginning of year VND
Share dividend,Share dividend,Share dividend,"170,589,700,000","193,124,990,000",,
Purchase of fixed assets but not yet paid as at end of year,Purchase of fixed assets but not yet paid as at end of year,Purchase of fixed assets but not yet paid as at end of year,"20,989,611,566","51,080,978,062",,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,"19,824,921,441","30,311,227,924",,
Net off finance lease liabilities and receivables from disposal of fixed assets,Net off finance lease liabilities and receivables from disposal of fixed assets,Net off finance lease liabilities and receivables from disposal of fixed assets,"7,702,575,000",-,,
Net off deposits and receivables from disposal of fixed assets,Net off deposits and receivables from disposal of fixed assets,Net off deposits and receivables from disposal of fixed assets,"7,702,575,000",-,,
Disposal of fixed assets but not yet collected,Disposal of fixed assets but not yet collected,Disposal of fixed assets but not yet collected,"2,072,600,000","5,692,483,172",,
Reclassify short-term lendings to long-term lendings,Reclassify short-term lendings to long-term lendings,Reclassify short-term lendings to long-term lendings,-,"20,000,000,000",,
Conversion of other receivables into lending,Conversion of other receivables into lending,Conversion of other receivables into lending,-,"6,400,000,000",,
Reclassify investments in subsidiaries as other receivables,Reclassify investments in subsidiaries as other receivables,Reclassify investments in subsidiaries as other receivables,-,"6,400,000,000",,
Conversion of inventory into fixed assets,Conversion of inventory into fixed assets,Conversion of inventory into fixed assets,-,"4,464,887,704",,
Interest income converted to lending principals,Interest income converted to lending principals,Interest income converted to lending principals,-,"9,672,623,730",,
