row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,numeric__Máy móc thiết bị VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,28.086.588.959,28086588959.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,46.680.523.613,46680523613.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,74.767.112.572,74767112572.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,4.980.057.283,4980057283.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.477.788.182,3477788182.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,8.457.845.465,8457845465.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,23.106.531.676,23106531676.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,66.309.267.107,66309267107.0
