row_label_raw,row_label_full,col_0,col_1,Current year VND,Previous year VND,numeric__col_1,numeric__Current year VND,numeric__Previous year VND
Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,,,
Mr. Tan Xuan Hien,Mr. Tan Xuan Hien,Mr. Tan Xuan Hien,Chairman,"650,000,000","650,000,000",,,
Mr.Toshihiro Oki,Mr.Toshihiro Oki,Mr.Toshihiro Oki,Member,"390,000,000","390,000,000",,,
Mr.Simon Mark Wilson,Mr.Simon Mark Wilson,Mr.Simon Mark Wilson,Member,"390,000,000","390,000,000",,,
Mr. Nguyen The Vinh,Mr. Nguyen The Vinh,Mr. Nguyen The Vinh,Member,"390,000,000","390,000,000",,,
Mr. Dang Huynh Anh Tuan,Mr. Dang Huynh Anh Tuan,Mr. Dang Huynh Anh Tuan,Member,"390,000,000","390,000,000",,,
Ms. Pham Thi Khue,Ms. Pham Thi Khue,Ms. Pham Thi Khue,Member,"390,000,000","390,000,000",,,
Ms. Nguyen Thuy Van,Ms. Nguyen Thuy Van,Ms. Nguyen Thuy Van,Member,"390,000,000","390,000,000",,,
Salary and bonus for Chairman and Board oManagement,Salary and bonus for Chairman and Board oManagement,Salary and bonus for Chairman and Board oManagement,Salary and bonus for Chairman and Board oManagement,Salary and bonus for Chairman and Board oManagement,Salary and bonus for Chairman and Board oManagement,,,
Mr. Tan Xuan Hien,Mr. Tan Xuan Hien,Mr. Tan Xuan Hien,Chairman,"1,698,224,000","1,698,399,000",,,
Ms. Nguyen Thai Ha,Ms. Nguyen Thai Ha,Ms. Nguyen Thai Ha,General Director,"2,716,986,000","2,716,706,000",,,
Mr. Le Thanh Vinh,Mr. Le Thanh Vinh,Mr. Le Thanh Vinh,Permanent Deputy General Director,"2,142,174,000","2,142,314,000",,,
Mr. Nguyen Phong Phu,Mr. Nguyen Phong Phu,Mr. Nguyen Phong Phu,Deputy General Director,"1,592,319,000","1,592,284,000",,,
Ms. Tran Thi Hong Tham,Ms. Tran Thi Hong Tham,Ms. Tran Thi Hong Tham,Chief Finance Officer cum Chief Accountant,"1,086,569,000","1,086,569,000",,,
