row_label_raw,row_label_full,Ông Tân Xuân Hiến,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Thành viên độc lập,
Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Thành viên độc lập,
Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Thành viên độc lập,
Ông Toshihiro Oki,Ông Toshihiro Oki,Ông Toshihiro Oki,Thành viên không điều hành,
Ông Simon Mark Wilson,Ông Simon Mark Wilson,Ông Simon Mark Wilson,Thành viên không điều hành,
Ông Đăng Huỳnh Anh Tuán,Ông Đăng Huỳnh Anh Tuán,Ông Đăng Huỳnh Anh Tuán,Thành viên không điều hành,
