row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình(Thuyết minh 11(a)),Năm nay VND > 358.893.849.428 > 65.712.218.682 > (83.807.631.791),Năm trước VND > 4.876.665.739.511 > 280.491.496.970 > (4.785.213.928.359),numeric__Năm nay VND > 358.893.849.428 > 65.712.218.682 > (83.807.631.791),numeric__Năm trước VND > 4.876.665.739.511 > 280.491.496.970 > (4.785.213.928.359)
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(50.411.448.736),-,-50411448736.0,
Giảm do chuyển nhượng công ty con,Giảm do chuyển nhượng công ty con,Giảm do chuyển nhượng công ty con,(21.989.757.454),-,-21989757454.0,
Khác,Khác,Khác,(27.272.727),(13.049.458.694),-27272727.0,-13049458694.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,268.369.957.402,358.893.849.428,268369957402.0,358893849428.0
