row_label_raw,row_label_full,col_0,Previous year,Previous year_1,Previous year_2,numeric__Previous year,numeric__Previous year_1,numeric__Previous year_2
,,,As previously reported,Adjustments,As restated,,,
Net profit attributable to shareholders (VND),Net profit attributable to shareholders (VND),Net profit attributable to shareholders (VND),"137,243,674,272",-,"137,243,674,272",,,
Dividend on preference shares,Dividend on preference shares,Dividend on preference shares,"(39,290,400,000)",-,"(39,290,400,000)",,,
Adjustment for bonus and welfare fund (VND),Adjustment for bonus and welfare fund (VND),Adjustment for bonus and welfare fund (VND),"(24,877,054,641)","(2,624,942,454)","(27,501,997,095)",,,
,,,"73,076,219,631","(2,624,942,454)","70,451,277,177",,,
Weighted average and welfare fund (shares),Weighted average and welfare fund (shares),Weighted average and welfare fund (shares),"341,249,401","17,058,970","358,308,371",,,
Basic earnings per share (VND),Weighted average and welfare fund (shares) > Basic earnings per share (VND),Basic earnings per share (VND),214,,197,214.0,,197.0
