row_label_raw,row_label_full,col_0,Machineries VND,numeric__Machineries VND
Historical cost,Historical cost,Historical cost,Historical cost,
As at beginning of year,As at beginning of year,As at beginning of year,"28,086,588,959",
New leases,New leases,New leases,"46,680,523,613",
As at end of year,As at end of year,As at end of year,"74,767,112,572",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
As at beginning of year,As at beginning of year,As at beginning of year,"4,980,057,283",
Charge for the year,Charge for the year,Charge for the year,"3,477,788,182",
As at end of year,As at end of year,As at end of year,"8,457,845,465",
Net book value,Net book value,Net book value,Net book value,
As at beginning of year,As at beginning of year,As at beginning of year,"23,106,531,676",
As at end of year,As at end of year,As at end of year,"66,309,267,107",
