row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Cost VND,Book value VND,Cost VND,Book value VND,,,,
Term deposits,Term deposits,Term deposits,"239,400,000,000","239,400,000,000","233,227,700,000","233,227,700,000",,,,
