row_label_raw,row_label_full,Bên liên quan (Thuyết minh 33(b),Số cuối năm > Giá trị VND > Bên liên quan (Thuyết minh 33(b),Số cuối năm > Dự phòng VND > Bên liên quan (Thuyết minh 33(b),Số đầu năm > Giá trị VND > Bên liên quan (Thuyết minh 33(b),Số đầu năm > Dự phòng VND > Bên liên quan (Thuyết minh 33(b),numeric__Số cuối năm > Giá trị VND > Bên liên quan (Thuyết minh 33(b),numeric__Số cuối năm > Dự phòng VND > Bên liên quan (Thuyết minh 33(b),numeric__Số đầu năm > Giá trị VND > Bên liên quan (Thuyết minh 33(b),numeric__Số đầu năm > Dự phòng VND > Bên liên quan (Thuyết minh 33(b)
Công ty Cổ phần Thủy điện Trường Phú (i),Công ty Cổ phần Thủy điện Trường Phú (i),Công ty Cổ phần Thủy điện Trường Phú (i),180.900.000.000,-,180.900.000.000,-,180900000000.0,,180900000000.0,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín (ii),Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín (ii),Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín (ii),54.420.000.000,-,44.420.000.000,-,54420000000.0,,44420000000.0,
Công ty Cổ phần Năng lượng sạch Ninh Thuận (iii),Công ty Cổ phần Năng lượng sạch Ninh Thuận (iii),Công ty Cổ phần Năng lượng sạch Ninh Thuận (iii),4.000.000.000,-,4.000.000.000,-,4000000000.0,,4000000000.0,
Công Ty Cổ Phần Điện Gió LaVi (iv),Công Ty Cổ Phần Điện Gió LaVi (iv),Công Ty Cổ Phần Điện Gió LaVi (iv),3.000.000.000,-,-,-,3000000000.0,,,
,,,242.320.000.000,-,229.320.000.000,-,242320000000.0,,229320000000.0,
