row_label_raw,row_label_full,Related Party,Transactions,Current year VND,Previous year VND,numeric__Transactions,numeric__Current year VND,numeric__Previous year VND
TTC International Travel Limited Company,TTC International Travel Limited Company,TTC International Travel Limited Company,Purchase of goods and services,"1,812,312,691","3,888,147,709",,,
Sacomreal Property Management Company Limited,Sacomreal Property Management Company Limited,Sacomreal Property Management Company Limited,Purchase of goods and services,"19,828,000","18,000,000",,,
DHA Medical Joint Stock Company,DHA Medical Joint Stock Company,DHA Medical Joint Stock Company,Purchase of goods and services,"797,176,482","753,985,000",,,
DHA Cosmetics Company Limited,DHA Cosmetics Company Limited,DHA Cosmetics Company Limited,Purchase of goods and services,"23,621,818",-,,,
Thanh Ngoc Tea Joint Stock Company,Thanh Ngoc Tea Joint Stock Company,Thanh Ngoc Tea Joint Stock Company,Purchase of goods and services,-,"23,672,727",,,
Branch of Thanh Thanh Cong Lam Dong Tourism Company Limited - Ngoc Lan Hotel,Branch of Thanh Thanh Cong Lam Dong Tourism Company Limited - Ngoc Lan Hotel,Branch of Thanh Thanh Cong Lam Dong Tourism Company Limited - Ngoc Lan Hotel,Revenue from sale of goods and rendering of services,"67,670,539",-,,,
Agris Ninh Hoa Import Export Joint Stock Company,Agris Ninh Hoa Import Export Joint Stock Company,Agris Ninh Hoa Import Export Joint Stock Company,Revenue from sale of goods and rendering of services,"35,100,000","167,220,000",,,
