row_label_raw,row_label_full,Related Party,Transactions,End of year VND,Beginning of year VND,numeric__Transactions,numeric__End of year VND,numeric__Beginning of year VND
Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Purchase of goods and services,"23,765,073,358","48,903,903,445",,,
Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Dividend paid,"5,230,500","10,461,000",,,
Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Capital receipts,-,"44,750,000",,,
TTC Energy Joint Stock Company,TTC Energy Joint Stock Company,TTC Energy Joint Stock Company,Revenue from rendering of services,"2,107,581,600","1,475,547,200",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Interest income,"16,164,530,139","13,625,663,688",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Revenue from sale of goods and rendering of services,"720,991,444","271,138,036",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Paid on behalf,"40,025,304",-,,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Reclassify other receivables into lending,-,"6,400,000,000",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Loan granted,-,"57,400,000,000",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Collection of lending,-,"61,900,000,000",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Interest income converted to lending principals,-,"9,672,623,730",,,
Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Collection of lending,"10,000,000,000","12,000,000,000",,,
Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Son Tin Commodity Trading Joint Stock Company,Interest income,"5,547,019,175","7,203,369,863",,,
