row_label_raw,row_label_full,Buildings and structures,5 - 48 years,numeric__5 - 48 years
Machinery and equipment,Machinery and equipment,Machinery and equipment,3 - 25 years,
"Motor vehicles, transmissions","Motor vehicles, transmissions","Motor vehicles, transmissions",5 - 30 years,
Office equipment,Office equipment,Office equipment,3 - 15 years,
Others,Others,Others,2 - 20 years,
