row_label_raw,row_label_full,Transactions,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Payment on behalf,Payment on behalf,Payment on behalf,"3,471,199",-,,
Capital contribution,Capital contribution,Capital contribution,-,"49,990,000,000",,
Borrowings,Borrowings,Borrowings,-,"20,000,000,000",,
Borrowings repayment,Borrowings repayment,Borrowings repayment,-,"20,000,000,000",,
Interest expense,Interest expense,Interest expense,-,"184,109,589",,
Borrowings,Borrowings,Borrowings,-,"294,503,000,000",,
Repayments of borrowings,Repayments of borrowings,Repayments of borrowings,-,"334,503,000,000",,
Interest expense,Interest expense,Interest expense,-,"18,987,234,851",,
Capital contribution,Capital contribution,Capital contribution,-,"112,500,000,000",,
Revenue from sale of goods and rendering of services,Revenue from sale of goods and rendering of services,Revenue from sale of goods and rendering of services,"6,409,196,254","1,331,468,800",,
Purchase of goods and services,Purchase of goods and services,Purchase of goods and services,"27,837,400",-,,
Purchase of goods and services,Purchase of goods and services,Purchase of goods and services,-,"51,878,400",,
