row_label_raw,row_label_full,Trà trước cho người bán ngắn hạn (Thuyết minh 6),Số cuối năm VND > Trà trước cho người bán ngắn hạn (Thuyết minh 6),Số đầu năm VND > Trà trước cho người bán ngắn hạn (Thuyết minh 6),numeric__Số cuối năm VND > Trà trước cho người bán ngắn hạn (Thuyết minh 6),numeric__Số đầu năm VND > Trà trước cho người bán ngắn hạn (Thuyết minh 6)
Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,199.550.000,-,199550000.0,
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,-,764.356.515,,764356515.0
,,,199.550.000,764.356.515,199550000.0,764356515.0
Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,180.900.000.000,180.900.000.000,180900000000.0,180900000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,54.420.000.000,44.420.000.000,54420000000.0,44420000000.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,4.000.000.000,4.000.000.000,4000000000.0,4000000000.0
Công Ty Cổ Phần Điện Gió LaVi,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công Ty Cổ Phần Điện Gió LaVi,Công Ty Cổ Phần Điện Gió LaVi,3.000.000.000,-,3000000000.0,
,,,242.320.000.000,229.320.000.000,242320000000.0,229320000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay dài hạn > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,-,20.000.000.000,,20000000000.0
Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,21.785.884.931,5.308.506.385,21785884931.0,5308506385.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,14.759.947.948,9.212.928.773,14759947948.0,9212928773.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,1.945.890.418,1.584.904.114,1945890418.0,1584904114.0
,,,38.491.723.297,16.106.339.272,38491723297.0,16106339272.0
Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác (Thuyết minh 8(b)) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
