row_label_raw,row_label_full,col_0,col_1,Current year,Current year_1,Previous year,Previous year_1,numeric__col_1,numeric__Current year,numeric__Current year_1,numeric__Previous year,numeric__Previous year_1
,,,,Book value VND,Provision VND,Book value VND,Provision VND,,,,,
(a),(a),(a),Short term,Short term,Short term,Short term,Short term,,,,,
(a),(a),(a),Advance to employees (i),"90,996,449,331",-,"46,899,177,479",-,,,,,
(a),(a),(a),Receivable from individual,-,-,"30,000,000,000",-,,,,,
(a),(a),(a),Interest receivable (Note 7),"42,772,244,238",-,"20,503,311,611",-,,,,,
(a),(a),(a),Deposit for project (ii),"5,795,000,000",-,"2,498,897,018",,,,,,
(a),(a),(a),Others,"6,765,557,537",-,"10,873,379,945",-,,,,,
(a),(a),(a),,"146,329,251,106",-,"110,774,766,053",-,,,,,
(b),(b),(b),Long term,Long term,Long term,Long term,Long term,,,,,
(b),(b),(b),Deposits for project (ii),"10,087,800,000",-,"18,957,800,000",,,,,,
(b),(b),(b),Deposits for financial lease (iii),"8,362,575,000",-,-,-,,,,,
(b),(b),(b),Deposit for warranty obligations (iv),"6,412,676,704",-,-,-,,,,,
(b),(b),(b),Other deposits,"629,166,262",-,-,,,,,,
(b),(b),(b),Others,"4,047,381,709","(151,709,842)","1,899,994,997","(151,709,842)",,,,,
(b),(b),(b),,"29,539,599,675","(151,709,842)","20,857,794,997","(151,709,842)",,,,,
(b),(b),(b),In which:,In which:,In which:,In which:,In which:,,,,,
(b),(b),(b),Related parties (Note 34(b)),Related parties (Note 34(b)),Related parties (Note 34(b)),Related parties (Note 34(b)),Related parties (Note 34(b)),,,,,
(b),(b),(b),- Short-term,"38,491,723,297",-,"16,106,339,272",-,,,,,
(b),(b),(b),- Long-term,"498,204,382",-,"498,204,382",-,,,,,
(b),(b),(b),Third parties,"136,878,923,102","(151,709,842)","115,028,017,396","(151,709,842)",,,,,
(b),(b),(b),,"175,868,850,781","(151,709,842)","131,632,561,050","(151,709,842)",,,,,
