row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Within one year,Within one year,Within one year,"7,462,489,414","9,692,607,449",,
Between one and five years,Between one and five years,Between one and five years,"18,085,950,352","23,124,670,009",,
Over five years,Over five years,Over five years,"99,073,008,275","98,836,152,577",,
Total minimum payments,Total minimum payments,Total minimum payments,"124,621,448,041","131,653,430,035",,
