row_label_raw,row_label_full,col_0,col_1,Tại ngày đầu năm VND,Số phải nộp/phát sinh trong năm VND,Số thực nộp/được hoàn trong năm VND,Cán trừ/phân loại lại trong năm VND,Giảm do chuyển nhượng công ty con VND,Khác VND,Tại ngày cuối năm VND,numeric__col_1,numeric__Tại ngày đầu năm VND,numeric__Số phải nộp/phát sinh trong năm VND,numeric__Số thực nộp/được hoàn trong năm VND,numeric__Cán trừ/phân loại lại trong năm VND,numeric__Giảm do chuyển nhượng công ty con VND,numeric__Khác VND,numeric__Tại ngày cuối năm VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,28.788.627.746,39.113.624.018,-,(47.557.843.276),(5.468.379.906),-,14.876.028.582,,28788627746.0,39113624018.0,,-47557843276.0,-5468379906.0,,14876028582.0
(a),(a) > (a),(a),Thuế TNDN,71.045.591,-,-,(71.045.591),-,-,-,,71045591.0,,,-71045591.0,,,
(a),(a) > (a),(a),Các loại thuế và phí khác,530.090.321,(265.994.736),-,(129.889.936),-,-,134.205.649,,530090321.0,-265994736.0,,-129889936.0,,,134205649.0
(a),(a) > (a),(a),,29.389.763.658,38.847.629.282,-,(47.758.778.803),(5.468.379.906),-,15.010.234.231,,29389763658.0,38847629282.0,,-47758778803.0,-5468379906.0,,15010234231.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,,,
(b),(b) > (b),(b),Thuế TNDN,35.936.325.108,55.371.388.939,(61.496.640.337),(71.045.591),(339.977.468),52.069.024,29.452.119.675,,35936325108.0,55371388939.0,-61496640337.0,-71045591.0,-339977468.0,52069024.0,29452119675.0
(b),(b) > (b),(b),Thuế GTGT,13.312.575.560,205.439.219.107,(158.233.844.339),(47.557.843.276),-,-,12.960.107.052,,13312575560.0,205439219107.0,-158233844339.0,-47557843276.0,,,12960107052.0
(b),(b) > (b),(b),Thuế tài nguyên,5.734.405.755,32.290.011.470,(34.483.221.752),-,(28.714.135),-,3.512.481.338,,5734405755.0,32290011470.0,-34483221752.0,,-28714135.0,,3512481338.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,2.441.735.113,9.824.050.721,(10.239.520.352),-,-,-,2.026.265.482,,2441735113.0,9824050721.0,-10239520352.0,,,,2026265482.0
(b),(b) > (b),(b),Các loại thuế và phí khác,755.550.752,14.336.640.881,(14.962.211.929),(129.889.936),-,-,89.768,,755550752.0,14336640881.0,-14962211929.0,-129889936.0,,,89768.0
(b),(b) > (b),(b),,58.180.592.288,317.261.311.118,(279.415.438.709),(47.758.778.803),(368.691.603),52.069.024,47.951.063.315,,58180592288.0,317261311118.0,-279415438709.0,-47758778803.0,-368691603.0,52069024.0,47951063315.0
